"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""service\"" was already set at main.tf:10,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":13,""column"":3},""end"":{""line"":13,""column"":10}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""service\"" was already set at main.tf:10,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":13,""column"":3},""end"":{""line"":13,""column"":10}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0001","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0003","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0002","phi-4","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","phi-4","cot","llm_iac_paraphrased","True","6","","6","0","0","","True","4","2","2","0","0","0",""
"paraphrased_0006","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","1","2","1","0",""
"paraphrased_0004","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","5","0","0","0",""
"paraphrased_0008","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Unclosed configuration block"",""message"":""There is no closing brace for this block before the end of the file. This may be caused by incorrect brace nesting elsewhere in this file."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":10,""column"":39},""en","0","0","0","{""issues"":[],""errors"":[{""summary"":""Unclosed configuration block"",""message"":""There is no closing brace for this block before the end of the file. This may be caused by incorrect brace nesting elsewhere in this file."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":10,""column"":39},""en","True","0","0","0","0","0","0",""
"paraphrased_0011","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":9,""column"":5},""end"":{""line"":9,""column"":6}}},{""summary"":""Invalid character"",""message"":""The \""`\"" c","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":9,""column"":5},""end"":{""line"":9,""column"":6}}},{""summary"":""Invalid character"",""message"":""The \""`\"" c","True","0","0","0","0","0","0",""
"paraphrased_0010","phi-4","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","0","7","1","2","0",""
"paraphrased_0009","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","0","1","4","2","0",""
"paraphrased_0012","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","30","1","27","1","1","0",""
"paraphrased_0013","phi-4","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","7","0","1","5","1","0",""
"paraphrased_0014","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""count\"" was already set at main.tf:29,3-8. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":31,""column"":3},""end"":{""line"":31,""column"":8}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""count\"" was already set at main.tf:29,3-8. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":31,""column"":3},""end"":{""line"":31,""column"":8}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0015","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","21","0","3","11","7","0",""
"paraphrased_0016","phi-4","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","5","0","2","2","1","0",""
"paraphrased_0017","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Unclosed configuration block"",""message"":""There is no closing brace for this block before the end of the file. This may be caused by incorrect brace nesting elsewhere in this file."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":15,""column"":41},""en","0","0","0","{""issues"":[],""errors"":[{""summary"":""Unclosed configuration block"",""message"":""There is no closing brace for this block before the end of the file. This may be caused by incorrect brace nesting elsewhere in this file."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":15,""column"":41},""en","True","0","0","0","0","0","0",""
"paraphrased_0019","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""iam_config\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":9,""column"":1},""end"":{""line"":9,""column"":20}}},{""summary"":""\""s3_buckets\"" module i","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""iam_config\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":9,""column"":1},""end"":{""line"":9,""column"":20}}},{""summary"":""\""s3_buckets\"" module i","True","25","0","17","4","4","0",""
"paraphrased_0018","phi-4","cot","llm_iac_paraphrased","True","13","","13","0","0","","True","3","0","0","2","1","0",""
"paraphrased_0020","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","2","7","0","1","0",""
"paraphrased_0021","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0022","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"paraphrased_0023","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0026","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","phi-4","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","7","0","2","3","2","0",""
"paraphrased_0027","phi-4","cot","llm_iac_paraphrased","True","11","","11","0","0","","True","7","1","0","5","1","0",""
"paraphrased_0028","phi-4","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0030","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":3,""column"":3},""end"":{""line"":3,""column"":10}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":3,""column"":3},""end"":{""line"":3,""column"":10}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0029","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","8","1","3","1","3","0",""
"paraphrased_0031","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0032","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""The equals sign \""=\"" indicates an argument definition, and must not be used when defining a block."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":34,""column"":12},""end"":{""line"":34,""column"":13}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""The equals sign \""=\"" indicates an argument definition, and must not be used when defining a block."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":34,""column"":12},""end"":{""line"":34,""column"":13}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0034","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing key/value separator"",""message"":""Expected an equals sign (\""=\"") to mark the beginning of the attribute value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":29,""column"":34},""end"":{""line"":29,""column"":37}}},{""summary"":""Missing argument sepa","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing key/value separator"",""message"":""Expected an equals sign (\""=\"") to mark the beginning of the attribute value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":29,""column"":34},""end"":{""line"":29,""column"":37}}},{""summary"":""Missing argument sepa","True","0","0","0","0","0","0",""
"paraphrased_0033","phi-4","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","1","0","0","0","0",""
"paraphrased_0035","phi-4","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","23","0","15","1","7","0",""
"paraphrased_0036","phi-4","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":3},""end"":{""line"":40,""column"":4}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":3},""end"":{""line"":40,""column"":4}}}]}","True","0","0","0","0","0","0",""
