"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0008","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","0","5","1","3","0",""
"paraphrased_0006","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0009","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","1","1","2","0",""
"paraphrased_0016","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","0","3","2","1","0",""
"paraphrased_0015","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","14","1","2","6","5","0",""
"paraphrased_0019","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","14","0","9","3","2","0",""
"paraphrased_0012","gemini-3-flash","few-shot","llm_iac_paraphrased","True","8","","8","0","0","","True","37","2","23","1","11","0",""
"paraphrased_0002","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0020","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","1","5","1","3","0",""
"paraphrased_0001","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0003","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0005","gemini-3-flash","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","12","5","3","1","3","0",""
"paraphrased_0004","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","1","2","0","3","0",""
"paraphrased_0010","gemini-3-flash","few-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","1","0","0","0",""
"paraphrased_0014","gemini-3-flash","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0013","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0011","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","3","1","5","1","0",""
"paraphrased_0017","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0022","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"paraphrased_0018","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","2","1","0",""
"paraphrased_0021","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","15","1","4","4","6","0",""
"paraphrased_0023","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0026","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","gemini-3-flash","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","8","0","3","3","2","0",""
"paraphrased_0024","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","2","0","3","0","0",""
"paraphrased_0029","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","1","3","1","2","0",""
"paraphrased_0030","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0028","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0031","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","1","0","0",""
"paraphrased_0032","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0033","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0035","gemini-3-flash","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0037","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0036","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","0","2","2","1","0",""
"paraphrased_0038","gemini-3-flash","few-shot","llm_iac_paraphrased","True","6","","6","0","0","","True","5","0","2","1","2","0",""
"paraphrased_0040","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","1","2","1","1","0",""
"paraphrased_0039","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0041","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","24","0","4","16","4","0",""
"paraphrased_0042","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0043","gemini-3-flash","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","3","0","0","0","3","0",""
"paraphrased_0034","gemini-3-flash","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","6","0","0","3","3","0",""
"paraphrased_0044","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","1","3","1","4","0",""
"paraphrased_0046","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0045","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","1","2","1","1","0",""
"paraphrased_0047","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0048","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","1","0","0","0","0",""
"paraphrased_0051","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0050","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0049","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","16","2","8","2","4","0",""
"paraphrased_0052","gemini-3-flash","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","11","1","7","0","3","0",""
"paraphrased_0054","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","0","3","0","3","0",""
"paraphrased_0053","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","2","1","1","5","0",""
"paraphrased_0055","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0056","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","13","4","1","0","8","0",""
"paraphrased_0057","gemini-3-flash","few-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0058","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","2","0","0","1","0",""
"paraphrased_0059","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","1","0","0","1","0",""
"paraphrased_0060","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","0","0","2","3","0",""
"paraphrased_0061","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","1","0","4","4","0",""
"paraphrased_0062","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","12","2","4","0","6","0",""
"paraphrased_0063","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0064","gemini-3-flash","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0065","gemini-3-flash","few-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","0","1","4","1","0",""
"paraphrased_0067","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","11","1","2","5","3","0",""
"paraphrased_0066","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0068","gemini-3-flash","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","3","0","0","2","1","0",""
