"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_3","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"llm_iac_1","glm-4.7","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_2","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","6","1","0","3","2","0",""
"llm_iac_7","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","3","1","2","0","0","0",""
"llm_iac_4","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_6","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","2","0","2","0",""
"llm_iac_5","glm-4.7","zero-shot","llm_iac","True","2","","2","0","0","","True","17","9","3","2","3","0",""
"llm_iac_9","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","1","0","2","0",""
"llm_iac_10","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","6","1","2","0","3","0",""
"llm_iac_8","glm-4.7","zero-shot","llm_iac","True","2","","2","0","0","","True","10","0","5","2","3","0",""
"llm_iac_11","glm-4.7","zero-shot","llm_iac","True","4","","4","0","0","","True","11","2","3","6","0","0",""
"llm_iac_13","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_14","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","5","1","3","0","1","0",""
"llm_iac_12","glm-4.7","zero-shot","llm_iac","True","15","","15","0","0","","True","44","4","19","1","20","0",""
"llm_iac_15","glm-4.7","zero-shot","llm_iac","True","5","","5","0","0","","True","11","0","3","3","5","0",""
"llm_iac_17","glm-4.7","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","glm-4.7","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","0","1","1","0",""
