"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0001","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0004","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0006","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0002","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0003","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0010","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","8","1","3","1","3","0",""
"paraphrased_0011","grok-4.1-fast","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""depends_on\"" was already set at main.tf:258,3-13. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":265,""column"":3},""end"":{""line"":265,""column"":13}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""depends_on\"" was already set at main.tf:258,3-13. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":265,""column"":3},""end"":{""line"":265,""column"":13}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0013","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","15","0","3","12","0","0",""
"paraphrased_0012","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0014","grok-4.1-fast","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0017","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0015","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0018","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0019","grok-4.1-fast","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""s3_bucket\"" module is not found"",""message"":""The module directory \""modules\\s3\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":141,""column"":1},""end"":{""line"":141,""column"":19}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""s3_bucket\"" module is not found"",""message"":""The module directory \""modules\\s3\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":141,""column"":1},""end"":{""line"":141,""column"":19}}}]}","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0020","grok-4.1-fast","few-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","13","1","7","1","4","0",""
