"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_3","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","0","2","0","0",""
"llm_iac_1","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"llm_iac_0","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","14","0","1","8","5","0",""
"llm_iac_2","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_4","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_7","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","9","2","6","1","0","0",""
"llm_iac_5","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","16","11","3","2","0","0",""
"llm_iac_6","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","0","0","3","0",""
"llm_iac_9","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","2","0","0","0","2","0",""
"llm_iac_8","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","12","0","6","0","6","0",""
"llm_iac_10","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_11","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","15","4","3","6","2","0",""
"llm_iac_14","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_13","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_12","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","51","6","26","0","19","0",""
"llm_iac_15","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","15","0","2","5","8","0",""
"llm_iac_17","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","0","1","0",""
"llm_iac_16","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","11","0","2","3","6","0",""
"llm_iac_19","claude-4.5-sonnet","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""development\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":368,""column"":1},""end"":{""line"":368,""column"":21}}},{""summary"":""\""producti","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""development\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":368,""column"":1},""end"":{""line"":368,""column"":21}}},{""summary"":""\""producti","True","7","0","3","3","1","0",""
"llm_iac_20","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","14","2","11","1","0","0",""
"llm_iac_22","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","2","0","0","0","0",""
"llm_iac_21","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","12","4","5","2","1","0",""
"llm_iac_23","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_24","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_26","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_25","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","11","0","3","3","5","0",""
"llm_iac_27","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","10","4","0","6","0","0",""
"llm_iac_28","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_30","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","10","3","6","1","0","0",""
"llm_iac_31","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","1","1","0","0",""
"llm_iac_32","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"llm_iac_33","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","4","0","0","2","2","0",""
"llm_iac_35","claude-4.5-sonnet","zero-shot","llm_iac","True","2","","2","0","0","","True","20","4","13","1","2","0",""
"llm_iac_36","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","2","1","1","0",""
"llm_iac_37","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"llm_iac_38","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"llm_iac_39","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_40","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","7","3","3","1","0","0",""
"llm_iac_41","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","24","0","4","16","4","0",""
"llm_iac_34","claude-4.5-sonnet","zero-shot","llm_iac","True","0","","0","0","0","","True","7","0","0","4","3","0",""
"llm_iac_42","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_43","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","0","0","4","0",""
"llm_iac_44","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","6","1","4","1","0","0",""
"llm_iac_45","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","4","1","2","1","0","0",""
"llm_iac_46","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_47","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_48","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","3","3","0","0","0","0",""
"llm_iac_49","claude-4.5-sonnet","zero-shot","llm_iac","True","1","","1","0","0","","True","12","4","6","1","1","0",""
