"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_0","phi-4","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""base_instance_name\"" was already set at main.tf:71,3-21. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":72,""column"":3},""end"":{""line"":72,""column"":21}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""base_instance_name\"" was already set at main.tf:71,3-21. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":72,""column"":3},""end"":{""line"":72,""column"":21}}}]}","True","0","0","0","0","0","0",""
"llm_iac_2","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_1","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_3","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_5","phi-4","few-shot","llm_iac","True","5","","5","0","0","","True","6","0","3","1","2","0",""
"llm_iac_6","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_7","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","3","0","2","0",""
"llm_iac_4","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_8","phi-4","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Missing attribute separator"",""message"":""Expected a newline or comma to mark the beginning of the next attribute."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":6},""end"":{""line"":40,""column"":7}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing attribute separator"",""message"":""Expected a newline or comma to mark the beginning of the next attribute."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":6},""end"":{""line"":40,""column"":7}}}]}","True","0","0","0","0","0","0",""
"llm_iac_9","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","1","4","2","0",""
"llm_iac_10","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","10","0","7","1","2","0",""
"llm_iac_11","phi-4","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_12","phi-4","few-shot","llm_iac","True","14","","14","0","0","","True","35","3","29","0","3","0",""
"llm_iac_13","phi-4","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""For expression requires a colon after the collection expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":71,""column"":56},""end"":{""line"":71,""column"":57}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""For expression requires a colon after the collection expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":71,""column"":56},""end"":{""line"":71,""column"":57}}}]}","True","0","0","0","0","0","0",""
"llm_iac_17","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_16","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","5","0","3","1","1","0",""
"llm_iac_14","phi-4","few-shot","llm_iac","True","5","","5","0","0","","True","2","0","2","0","0","0",""
"llm_iac_15","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","13","0","2","7","4","0",""
"llm_iac_18","phi-4","few-shot","llm_iac","True","3","","3","0","0","","True","4","0","0","3","1","0",""
"llm_iac_22","phi-4","few-shot","llm_iac","True","2","","2","0","0","","True","2","2","0","0","0","0",""
