"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0001","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0002","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","17","0","1","7","9","0",""
"paraphrased_0004","kimi-k2.5","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","kimi-k2.5","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0005","kimi-k2.5","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","17","9","3","2","3","0",""
"paraphrased_0007","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","12","3","6","1","2","0",""
"paraphrased_0008","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","0","5","1","3","0",""
"paraphrased_0009","kimi-k2.5","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","1","1","2","0",""
"paraphrased_0010","kimi-k2.5","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0011","kimi-k2.5","few-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","14","4","6","1","3","0",""
