"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0001","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","qwen3-235b","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","5","1","0","3","1","0",""
"paraphrased_0002","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0004","qwen3-235b","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","0","4","0","4","0",""
"paraphrased_0007","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","2","0","3","0",""
"paraphrased_0005","qwen3-235b","cot","llm_iac_paraphrased","True","8","","8","0","0","","True","16","9","3","1","3","0",""
"paraphrased_0008","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","1","0","3","0",""
"paraphrased_0009","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0010","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","16","1","8","1","6","0",""
"paraphrased_0011","qwen3-235b","cot","llm_iac_paraphrased","True","10","","10","0","0","","True","16","4","5","2","5","0",""
"paraphrased_0012","qwen3-235b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""A block definition must have block content delimited by \""{\"" and \""}\"", starting on the same line as the block header."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":83,""column"":22},""end"":{""line"":84,""column"":","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""A block definition must have block content delimited by \""{\"" and \""}\"", starting on the same line as the block header."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":83,""column"":22},""end"":{""line"":84,""column"":","True","0","0","0","0","0","0",""
"paraphrased_0013","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0014","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","3","0","1","0",""
"paraphrased_0015","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","16","0","3","6","7","0",""
"paraphrased_0016","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","0","2","3","1","0",""
"paraphrased_0018","qwen3-235b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0017","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0019","qwen3-235b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""development\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":8,""column"":1},""end"":{""line"":8,""column"":21}}},{""summary"":""\""production\""","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""development\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":8,""column"":1},""end"":{""line"":8,""column"":21}}},{""summary"":""\""production\""","True","8","0","6","0","2","0",""
"paraphrased_0020","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","12","1","7","1","3","0",""
"paraphrased_0021","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","17","2","5","3","7","0",""
"paraphrased_0022","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","4","0","0","0","0",""
"paraphrased_0023","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","qwen3-235b","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","2","0","0","2","0","0",""
"paraphrased_0026","qwen3-235b","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","qwen3-235b","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","10","0","2","3","5","0",""
"paraphrased_0027","qwen3-235b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":200,""column"":43},""end"":{""line"":200,""column"":46}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":200,""column"":43},""end"":{""line"":200,""column"":46}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0028","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0029","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","17","3","5","1","8","0",""
"paraphrased_0030","qwen3-235b","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0031","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0033","qwen3-235b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":181,""column"":40},""end"":{""line"":182,""column"":1}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":181,""column"":40},""end"":{""line"":182,""column"":1}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0032","qwen3-235b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0035","qwen3-235b","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","32","4","17","1","10","0",""
"paraphrased_0037","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0036","qwen3-235b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","0","6","0","2","0",""
