"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_1","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_2","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_3","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","16","0","1","7","8","0",""
"llm_iac_5","kimi-k2.5","few-shot","llm_iac","True","4","","4","0","0","","True","15","7","3","2","3","0",""
"llm_iac_4","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_6","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","8","0","4","0","4","0",""
"llm_iac_7","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","9","2","5","1","1","0",""
"llm_iac_9","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","1","2","2","0",""
"llm_iac_8","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","12","0","6","1","5","0",""
"llm_iac_10","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","1","0","0","0",""
"llm_iac_11","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","19","4","4","6","5","0",""
"llm_iac_13","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_14","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_12","kimi-k2.5","few-shot","llm_iac","True","4","","4","0","0","","True","34","4","26","0","4","0",""
"llm_iac_15","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","8","0","2","3","3","0",""
"llm_iac_16","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","6","0","2","2","2","0",""
"llm_iac_17","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","kimi-k2.5","few-shot","llm_iac","True","4","","4","0","0","","True","4","0","0","3","1","0",""
"llm_iac_19","kimi-k2.5","few-shot","llm_iac","True","1","","1","0","0","","True","18","0","10","6","2","0",""
"llm_iac_20","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","11","2","6","1","2","0",""
"llm_iac_22","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","4","4","0","0","0","0",""
"llm_iac_21","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","17","3","5","2","7","0",""
"llm_iac_23","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_24","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_25","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","16","0","3","4","9","0",""
"llm_iac_27","kimi-k2.5","few-shot","llm_iac","True","5","","5","0","0","","True","8","2","0","6","0","0",""
"llm_iac_28","kimi-k2.5","few-shot","llm_iac","True","4","","4","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","16","3","5","1","7","0",""
"llm_iac_30","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_31","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","1","1","0","0",""
"llm_iac_32","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_33","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","2","1","0",""
"llm_iac_35","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","36","4","17","1","14","0",""
"llm_iac_36","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","9","0","6","2","1","0",""
"llm_iac_37","kimi-k2.5","few-shot","llm_iac","True","1","","1","0","0","","True","7","0","2","2","3","0",""
"llm_iac_38","kimi-k2.5","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","0","4","3","0",""
"llm_iac_39","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_40","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","16","3","3","1","9","0",""
"llm_iac_41","kimi-k2.5","few-shot","llm_iac","True","2","","2","0","0","","True","20","0","0","16","4","0",""
