"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0002","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0003","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0004","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","0","0","3","0",""
"paraphrased_0007","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","9","1","4","1","3","0",""
"paraphrased_0005","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","19","10","5","2","2","0",""
"paraphrased_0008","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0009","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0011","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","True","0","0","0","0","0","0",""
"paraphrased_0010","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","1","2","1","4","0",""
"paraphrased_0014","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0013","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0012","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","24","3","8","1","12","0",""
"paraphrased_0015","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","13","1","2","5","5","0",""
"paraphrased_0017","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0016","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","10","0","2","4","4","0",""
"paraphrased_0018","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","2","1","0",""
"paraphrased_0019","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""environments\"" module is not found"",""message"":""The module directory \""modules\\environments\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":44,""column"":1},""end"":{""line"":44,""column"":22}}},{""summary"":""\""iam\"" mo","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""environments\"" module is not found"",""message"":""The module directory \""modules\\environments\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":44,""column"":1},""end"":{""line"":44,""column"":22}}},{""summary"":""\""iam\"" mo","True","0","0","0","0","0","0",""
"paraphrased_0020","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0022","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":124,""column"":112},""end"":{""line"":125,""column"":1}}},{""summary"":""Argument or block definition r","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":124,""column"":112},""end"":{""line"":125,""column"":1}}},{""summary"":""Argument or block definition r","True","0","0","0","0","0","0",""
"paraphrased_0021","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","16","2","3","3","8","0",""
"paraphrased_0023","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","True","0","0","0","0","0","0",""
"paraphrased_0026","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing false expression in conditional"",""message"":""The conditional operator (...?...:...) requires a false expression, delimited by a colon."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":206,""column"":5},""end"":{""line"":206,""column"":6}}},{""summary","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing false expression in conditional"",""message"":""The conditional operator (...?...:...) requires a false expression, delimited by a colon."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":206,""column"":5},""end"":{""line"":206,""column"":6}}},{""summary","True","0","0","0","0","0","0",""
"paraphrased_0025","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","0","4","3","3","0",""
"paraphrased_0028","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0030","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","1","1","1","0",""
"paraphrased_0029","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","14","3","4","1","6","0",""
"paraphrased_0031","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0032","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0034","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Variables not allowed"",""message"":""Variables may not be used here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":84,""column"":16},""end"":{""line"":84,""column"":19}}},{""summary"":""Unsuitable value type"",""message"":""Unsuitable value: value must be known"",","0","0","0","{""issues"":[],""errors"":[{""summary"":""Variables not allowed"",""message"":""Variables may not be used here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":84,""column"":16},""end"":{""line"":84,""column"":19}}},{""summary"":""Unsuitable value type"",""message"":""Unsuitable value: value must be known"",","True","0","0","0","0","0","0",""
"paraphrased_0033","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0035","ministral-8b","zero-shot","llm_iac_paraphrased","True","8","","8","0","0","","True","24","3","15","2","4","0",""
"paraphrased_0036","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","9","0","6","2","1","0",""
"paraphrased_0038","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":135,""column"":1},""end"":{""line"":135,""column"":13}}},{""summary"":""\""private_dns\"" module is ","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":135,""column"":1},""end"":{""line"":135,""column"":13}}},{""summary"":""\""private_dns\"" module is ","True","4","0","1","1","2","0",""
"paraphrased_0037","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","0","2","2","3","0",""
"paraphrased_0039","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0040","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":127,""column"":3},""end"":{""line"":127,""column"":4}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":127,""column"":3},""end"":{""line"":127,""column"":4}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0041","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","24","0","4","16","4","0",""
"paraphrased_0042","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0043","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","12","0","5","2","5","0",""
"paraphrased_0044","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","3","1","0","0",""
"paraphrased_0045","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","1","1","1","1","0",""
"paraphrased_0046","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0047","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0048","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","1","1","0","0","0","0",""
"paraphrased_0050","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","0","0","3","1","0",""
"paraphrased_0049","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","18","2","9","1","6","0",""
"paraphrased_0051","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0052","ministral-8b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""Either a quoted string block label or an opening brace (\""{\"") is expected here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":103,""column"":33},""end"":{""line"":103,""column"":34}}},{""summary"":""Invalid block defin","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""Either a quoted string block label or an opening brace (\""{\"") is expected here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":103,""column"":33},""end"":{""line"":103,""column"":34}}},{""summary"":""Invalid block defin","True","0","0","0","0","0","0",""
"paraphrased_0053","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","7","2","2","1","2","0",""
"paraphrased_0054","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","3","0","3","0",""
"paraphrased_0055","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","26","0","15","3","8","0",""
"paraphrased_0056","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","14","5","3","1","5","0",""
"paraphrased_0057","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","1","2","1","3","0",""
"paraphrased_0058","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","1","1","0","1","0",""
"paraphrased_0059","ministral-8b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","1","0","0","1","0",""
"paraphrased_0060","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","14","0","0","5","9","0",""
"paraphrased_0061","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","7","0","0","2","5","0",""
"paraphrased_0062","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","2","4","0","1","0",""
"paraphrased_0063","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0064","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0065","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","12","1","1","7","3","0",""
"paraphrased_0066","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0067","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","9","1","1","3","4","0",""
"paraphrased_0068","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","0","0","2","2","0",""
"paraphrased_0069","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0070","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0071","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","2","2","2","0",""
"paraphrased_0072","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0073","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","20","0","2","12","6","0",""
"paraphrased_0074","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","11","3","5","1","2","0",""
"paraphrased_0075","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0076","ministral-8b","zero-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0077","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","1","5","1","3","0",""
"paraphrased_0078","ministral-8b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","19","1","2","12","4","0",""
"paraphrased_0079","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","3","0","0",""
"paraphrased_0080","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","20","2","12","1","5","0",""
"paraphrased_0081","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","0","3","7","0","0",""
"paraphrased_0082","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0083","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","10","0","0","10","0","0",""
"paraphrased_0084","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0085","ministral-8b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","0","2","2","0",""
"paraphrased_0087","ministral-8b","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","18","2","6","2","8","0",""
"paraphrased_0086","ministral-8b","zero-shot","llm_iac_paraphrased","True","6","","6","0","0","","True","5","1","1","3","0","0",""
