"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0003","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0002","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0000","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","11","0","1","7","3","0",""
"paraphrased_0004","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0007","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","1","2","0","0","0",""
"paraphrased_0005","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","16","8","3","2","3","0",""
"paraphrased_0008","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0009","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","1","1","2","0",""
"paraphrased_0010","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","5","0","2","1","2","0",""
"paraphrased_0011","claude-4.5-sonnet","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","17","4","5","6","2","0",""
