"scenario_id","model","prompt_type","dataset","gen_terametrics_ok","gen_terametrics_error","ref_terametrics_ok","ref_terametrics_error","gen_num_lines_of_code","gen_num_providers","gen_num_resources","gen_num_outputs","gen_num_variables","gen_num_modules","gen_num_data","gen_num_blocks","gen_num_locals","gen_num_terraform","gen_numImplicitDependentEach_avg","gen_numExplicitResourceDependency_sum","gen_numImplicitDependentResources_sum","gen_avgMccabeCC","gen_maxMccabeCC","gen_sumMccabeCC","gen_numComparisonOperators_sum","gen_numConditions_sum","gen_numLoops_sum","gen_maxDepthNestedBlocks","gen_numDynamicBlocks_sum","gen_numNestedBlocks_sum","gen_loc_sum","gen_containDescriptionField_sum","gen_numStringValues_sum","gen_minAttrsTextEntropy","gen_maxAttrsTextEntropy","gen_avgAttrsTextEntropy","gen_textEntropyMeasure_avg","gen_numDeprecatedFunctions_sum","gen_numDebuggingFunctions_sum","gen_numWildCardSuffixString_sum","gen_numEmptyString_sum","gen_numStarString_sum","gen_numTokens_sum","gen_numAttrs_sum","gen_numVars_sum","gen_numReferences_sum","gen_numFunctionCall_sum","gen_numLiteralExpression_sum","gen_numMetaArg_sum","gen_numTemplateExpression_sum","gen_numHereDocs_sum","gen_numObjects_sum","gen_numTuples_sum","gen_numLogiOpers_sum","gen_numMathOperations_sum","gen_numIndexAccess_sum","gen_numSplatExpressions_sum","gen_numLookUpFunctionCall_sum","gen_numParams_sum","ref_num_lines_of_code","ref_num_providers","ref_num_resources","ref_num_outputs","ref_num_variables","ref_num_modules","ref_num_data","ref_num_blocks","ref_num_locals","ref_num_terraform","ref_numImplicitDependentEach_avg","ref_numExplicitResourceDependency_sum","ref_numImplicitDependentResources_sum","ref_avgMccabeCC","ref_maxMccabeCC","ref_sumMccabeCC","ref_numComparisonOperators_sum","ref_numConditions_sum","ref_numLoops_sum","ref_maxDepthNestedBlocks","ref_numDynamicBlocks_sum","ref_numNestedBlocks_sum","ref_loc_sum","ref_containDescriptionField_sum","ref_numStringValues_sum","ref_minAttrsTextEntropy","ref_maxAttrsTextEntropy","ref_avgAttrsTextEntropy","ref_textEntropyMeasure_avg","ref_numDeprecatedFunctions_sum","ref_numDebuggingFunctions_sum","ref_numWildCardSuffixString_sum","ref_numEmptyString_sum","ref_numStarString_sum","ref_numTokens_sum","ref_numAttrs_sum","ref_numVars_sum","ref_numReferences_sum","ref_numFunctionCall_sum","ref_numLiteralExpression_sum","ref_numMetaArg_sum","ref_numTemplateExpression_sum","ref_numHereDocs_sum","ref_numObjects_sum","ref_numTuples_sum","ref_numLogiOpers_sum","ref_numMathOperations_sum","ref_numIndexAccess_sum","ref_numSplatExpressions_sum","ref_numLookUpFunctionCall_sum","ref_numParams_sum"
"paraphrased_0002","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","75","1","3","5","5","0","0","15","0","1","0.0","0.0","8.0","1.0","1.0","38.0","0.0","0.0","0.0","6.0","0.0","1.0","75.0","10.0","19.0","3.12","4.32","3.8646666666666665","4.405333333333333","0.0","0.0","0.0","1.0","0.0","241.0","38.0","23.0","23.0","0.0","20.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","49","0","4","3","2","0","0","10","0","1","0.0","0.0","8.0","1.0","1.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","49.0","5.0","16.0","3.0","4.73","3.996","4.682","0.0","0.0","0.0","0.0","0.0","174.0","24.0","12.0","20.0","0.0","17.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0003","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","78","1","3","5","2","0","0","11","0","0","0.0","0.0","8.0","1.0","1.0","44.0","0.0","0.0","0.0","5.0","0.0","6.0","78.0","10.0","27.0","2.9","4.45","3.9927272727272727","4.612727272727273","0.0","0.0","0.0","0.0","0.0","241.0","44.0","13.0","19.0","0.0","31.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0","2","2","3","0","0","7","0","0","0.0","0.0","3.0","0.5714285714285714","1.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","0.0","1.0","0.0","4.25","2.1757142857142857","4.515714285714286","0.0","0.0","0.0","0.0","0.0","74.0","8.0","7.0","10.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0001","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","64","0","2","3","4","0","0","10","1","0","0.0","0.0","4.0","1.083","2.0","31.0","2.0","2.0","0.0","5.0","0.0","1.0","64.0","7.0","23.0","3.02","5.01","3.995","4.586","0.0","0.0","0.0","0.0","0.0","239.0","29.0","24.0","17.0","2.0","31.0","2.0","2.0","0.0","2.0","4.0","0.0","0.0","2.0","0.0","0.0","2.0","68","0","2","1","9","0","1","14","0","1","0.0","0.0","2.0","0.9285714285714286","1.0","39.0","0.0","0.0","0.0","9.0","0.0","1.0","68.0","9.0","15.0","0.0","4.67","3.4614285714285713","4.473571428571428","0.0","0.0","0.0","2.0","0.0","258.0","39.0","23.0","22.0","3.0","15.0","0.0","4.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","3.0"
"paraphrased_0000","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","515","1","36","5","5","0","0","48","0","1","0.020833333333333332","0.0","56.0","1.0","1.0","273.0","0.0","0.0","0.0","16.0","0.0","50.0","515.0","23.0","164.0","2.73","5.09","3.8654166666666665","4.418125","0.0","0.0","0.0","0.0","1.0","1699.0","273.0","100.0","143.0","1.0","218.0","7.0","19.0","2.0","2.0","31.0","0.0","0.0","2.0","0.0","0.0","1.0","330","2","23","0","7","0","1","34","1","0","0.0","0.0","42.0","1.0","1.0","179.0","0.0","0.0","0.0","6.0","0.0","22.0","330.0","8.0","84.0","2.73","4.73","3.739411764705882","4.6438235294117645","0.0","0.0","0.0","0.0","0.0","1048.0","179.0","80.0","102.0","1.0","103.0","14.0","1.0","0.0","1.0","24.0","0.0","0.0","0.0","0.0","0.0","1.0"
"paraphrased_0004","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","55","0","2","3","4","0","0","10","0","1","0.0","0.0","4.0","1.0","1.0","25.0","0.0","0.0","0.0","10.0","0.0","2.0","55.0","8.0","14.0","3.04","4.34","3.8289999999999997","4.3759999999999994","0.0","0.0","0.0","0.0","0.0","168.0","25.0","16.0","12.0","0.0","17.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19","1","2","0","0","0","0","4","1","0","0.0","0.0","1.0","1.0","1.0","9.0","0.0","0.0","0.0","3.0","0.0","1.0","19.0","1.0","6.0","3.0","4.08","3.65","4.34","0.0","0.0","0.0","0.0","0.0","57.0","9.0","1.0","2.0","2.0","8.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"paraphrased_0006","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","108","0","3","4","4","0","1","13","0","1","0.5384615384615384","0.0","7.0","1.106153846153846","2.0","39.0","0.0","0.0","4.0","6.0","0.0","2.0","108.0","8.0","25.0","3.18","4.73","3.9099999999999997","3.9692307692307693","2.0","0.0","0.0","0.0","0.0","434.0","35.0","69.0","38.0","9.0","32.0","3.0","1.0","0.0","14.0","3.0","0.0","0.0","5.0","0.0","0.0","13.0","50","0","1","0","2","3","0","7","0","1","0.0","0.0","1.0","1.0","1.0","29.0","0.0","0.0","0.0","6.0","0.0","2.0","50.0","2.0","21.0","2.27","4.43","3.795714285714286","4.605714285714286","0.0","0.0","0.0","0.0","0.0","152.0","29.0","12.0","9.0","0.0","21.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0005","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","361","3","23","5","7","0","2","42","1","1","0.0","0.0","35.0","0.9761904761904762","1.0","194.0","0.0","0.0","0.0","14.0","0.0","20.0","361.0","13.0","121.0","0.0","4.86","3.6721428571428567","4.33","0.0","0.0","0.0","0.0","6.0","1160.0","194.0","83.0","103.0","1.0","139.0","1.0","0.0","1.0","11.0","22.0","0.0","0.0","1.0","0.0","0.0","1.0","204","3","7","0","16","0","0","26","0","0","0.0","0.0","4.0","1.0","1.0","116.0","0.0","0.0","0.0","7.0","0.0","14.0","204.0","18.0","78.0","2.24","4.38","3.6296153846153847","4.492692307692308","0.0","0.0","0.0","12.0","0.0","617.0","116.0","32.0","34.0","0.0","92.0","9.0","0.0","0.0","4.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0007","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","213","1","12","3","3","0","1","21","0","1","0.0","0.0","21.0","1.0","1.0","111.0","0.0","0.0","0.0","11.0","0.0","16.0","213.0","6.0","55.0","2.72","4.87","3.741904761904762","4.604761904761905","0.0","0.0","0.0","0.0","0.0","672.0","111.0","44.0","52.0","1.0","86.0","6.0","2.0","1.0","10.0","9.0","0.0","2.0","2.0","2.0","0.0","1.0","72","1","2","1","8","0","0","12","0","0","0.0","0.0","3.0","1.0","1.0","39.0","0.0","0.0","0.0","6.0","0.0","3.0","72.0","8.0","24.0","2.72","4.49","3.7925","4.501666666666667","1.0","0.0","0.0","0.0","0.0","224.0","39.0","10.0","11.0","3.0","33.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0","1.0","4.0"
"paraphrased_0008","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","177","1","16","4","3","0","0","25","0","1","0.0","0.0","36.0","1.0","1.0","78.0","0.0","0.0","0.0","6.0","0.0","5.0","177.0","8.0","45.0","3.28","5.16","4.0432","4.5680000000000005","0.0","0.0","0.0","0.0","0.0","652.0","78.0","65.0","78.0","2.0","49.0","4.0","9.0","0.0","9.0","7.0","0.0","0.0","0.0","0.0","0.0","2.0","101","0","4","1","5","0","2","14","1","1","0.0","0.0","5.0","1.0","1.0","42.0","0.0","0.0","0.0","15.0","0.0","6.0","101.0","6.0","34.0","3.08","5.25","3.825714285714286","4.491428571428572","0.0","0.0","0.0","0.0","1.0","318.0","42.0","30.0","25.0","0.0","36.0","0.0","2.0","0.0","2.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0009","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","228","2","19","10","7","0","1","40","0","1","0.025","0.0","34.0","1.0","1.0","113.0","0.0","0.0","0.0","10.0","0.0","7.0","228.0","17.0","69.0","2.58","4.58","3.90275","4.407500000000001","0.0","0.0","0.0","0.0","0.0","834.0","113.0","70.0","88.0","1.0","75.0","5.0","13.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","105","0","2","5","5","4","0","17","1","0","0.058823529411764705","0.0","0.0","1.0082352941176471","2.0","49.0","1.0","1.0","0.0","0.0","0.0","0.0","105.0","5.0","42.0","3.12","4.57","4.011764705882353","4.437647058823529","0.0","0.0","0.0","4.0","0.0","399.0","48.0","30.0","42.0","1.0","45.0","1.0","8.0","0.0","2.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0"
"paraphrased_0010","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","306","1","11","7","14","0","2","36","0","1","0.0","0.0","13.0","1.0672222222222223","2.0","162.0","2.0","8.0","0.0","10.0","1.0","17.0","306.0","22.0","84.0","2.72","4.92","3.791111111111111","4.562777777777778","1.0","0.0","0.0","0.0","0.0","1024.0","154.0","85.0","67.0","3.0","130.0","10.0","11.0","1.0","15.0","12.0","0.0","0.0","5.0","0.0","0.0","4.0","153","0","0","0","31","0","0","32","0","1","0.0","0.0","0.0","1.0","1.0","87.0","0.0","0.0","0.0","7.0","0.0","1.0","153.0","31.0","45.0","2.95","4.76","3.6734375","4.529375","2.0","0.0","0.0","6.0","0.0","399.0","87.0","31.0","0.0","2.0","55.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"paraphrased_0011","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","472","1","29","11","10","0","3","56","0","2","0.0","0.0","56.0","0.9673214285714286","2.0","238.0","2.0","2.0","0.0","12.0","1.0","24.0","472.0","28.0","151.0","0.0","4.93","3.7889285714285714","4.5582142857142856","1.0","0.0","0.0","3.0","0.0","1975.0","236.0","182.0","203.0","15.0","203.0","14.0","37.0","1.0","23.0","17.0","0.0","6.0","10.0","4.0","0.0","20.0","194","0","17","2","8","0","1","29","1","0","0.0","0.0","22.0","0.7241379310344828","1.0","93.0","0.0","0.0","0.0","6.0","0.0","7.0","194.0","6.0","42.0","0.0","5.15","2.8431034482758624","4.458620689655173","0.0","0.0","0.0","0.0","0.0","607.0","93.0","42.0","62.0","1.0","60.0","2.0","2.0","3.0","2.0","10.0","0.0","0.0","0.0","0.0","0.0","1.0"
"paraphrased_0013","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","121","1","2","5","7","0","1","18","1","1","0.2222222222222222","0.0","9.0","1.1944444444444444","2.0","54.0","1.0","1.0","5.0","9.0","0.0","3.0","121.0","12.0","24.0","3.09","4.47","3.8872222222222224","4.4383333333333335","1.0","0.0","0.0","2.0","0.0","466.0","48.0","74.0","48.0","4.0","27.0","3.0","1.0","0.0","8.0","3.0","0.0","0.0","6.0","0.0","0.0","5.0","59","0","0","1","5","2","0","8","0","0","0.375","0.0","0.0","1.1875","4.0","29.0","0.0","0.0","3.0","0.0","0.0","0.0","59.0","6.0","12.0","3.09","4.55","3.815","4.695","1.0","0.0","0.0","0.0","0.0","220.0","26.0","30.0","26.0","3.0","12.0","1.0","0.0","1.0","2.0","4.0","0.0","0.0","2.0","1.0","0.0","3.0"
"paraphrased_0014","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","182","1","3","6","10","0","3","25","1","1","0.0","0.0","11.0","1.1044","3.0","96.0","3.0","7.0","1.0","6.0","0.0","10.0","182.0","16.0","50.0","2.55","4.78","3.8136","4.5168","2.0","0.0","0.0","1.0","0.0","718.0","88.0","67.0","64.0","10.0","71.0","6.0","3.0","0.0","5.0","11.0","0.0","3.0","4.0","5.0","2.0","17.0","80","1","2","3","15","0","0","21","0","0","0.0","0.0","4.0","0.8333333333333334","2.0","36.0","0.0","1.0","0.0","3.0","0.0","1.0","80.0","9.0","17.0","0.0","4.65","3.1404761904761904","4.26047619047619","1.0","0.0","0.0","0.0","0.0","293.0","35.0","25.0","29.0","3.0","21.0","2.0","1.0","0.0","2.0","1.0","0.0","0.0","1.0","4.0","0.0","5.0"
"paraphrased_0012","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","1060","0","49","15","18","0","3","86","0","1","0.0","0.0","82.0","1.0016279069767442","2.0","527.0","0.0","0.0","2.0","11.0","1.0","67.0","1060.0","37.0","312.0","2.24","5.22","3.82546511627907","4.464651162790697","5.0","0.0","0.0","0.0","2.0","4255.0","525.0","487.0","409.0","33.0","441.0","25.0","67.0","0.0","49.0","49.0","0.0","9.0","23.0","13.0","0.0","40.0","167","0","4","5","17","6","0","32","0","0","0.0","0.0","11.0","0.75","1.0","95.0","0.0","0.0","0.0","6.0","0.0","4.0","167.0","4.0","38.0","0.0","4.42","2.7484375","4.2075000000000005","0.0","0.0","0.0","0.0","0.0","669.0","95.0","67.0","79.0","0.0","51.0","4.0","10.0","0.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0015","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","667","0","42","9","4","0","0","57","1","1","0.03508771929824561","0.0","98.0","1.0292982456140352","2.0","336.0","6.0","6.0","0.0","48.0","0.0","68.0","667.0","15.0","208.0","2.41","5.02","3.814736842105263","4.535087719298246","0.0","0.0","0.0","6.0","5.0","2301.0","330.0","208.0","214.0","3.0","243.0","58.0","29.0","2.0","12.0","32.0","0.0","0.0","0.0","0.0","0.0","3.0","194","0","6","2","8","8","0","24","0","0","0.0","0.0","3.0","1.0","1.0","96.0","0.0","0.0","0.0","11.0","0.0","3.0","194.0","10.0","65.0","2.75","4.86","3.8258333333333336","4.64625","2.0","0.0","0.0","1.0","0.0","635.0","96.0","58.0","52.0","2.0","77.0","1.0","4.0","1.0","6.0","9.0","0.0","0.0","2.0","0.0","0.0","2.0"
"paraphrased_0016","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","220","1","2","6","15","0","0","26","1","1","0.0","0.0","7.0","1.0223076923076921","2.0","113.0","2.0","3.0","0.0","43.0","2.0","21.0","220.0","22.0","53.0","2.95","4.92","3.7776923076923077","4.45423076923077","0.0","0.0","0.0","4.0","0.0","661.0","110.0","54.0","40.0","1.0","77.0","2.0","3.0","0.0","4.0","8.0","0.0","1.0","1.0","0.0","0.0","2.0","59","0","1","2","8","0","0","11","0","0","0.0","0.0","2.0","1.0","1.0","27.0","0.0","0.0","0.0","17.0","0.0","2.0","59.0","9.0","15.0","2.87","4.43","3.867272727272727","4.358181818181818","0.0","0.0","0.0","0.0","0.0","167.0","27.0","14.0","12.0","0.0","16.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0017","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","58","0","2","4","2","0","0","9","1","0","0.0","0.0","5.0","1.0","1.0","22.0","0.0","0.0","0.0","0.0","0.0","0.0","58.0","6.0","18.0","3.24","4.92","4.023333333333333","4.517777777777778","0.0","0.0","0.0","0.0","0.0","220.0","22.0","26.0","19.0","3.0","18.0","0.0","5.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","5.0","27","0","2","0","2","0","0","4","0","0","0.0","0.0","1.0","1.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","2.0","10.0","2.75","4.96","4.0175","4.535","0.0","0.0","0.0","1.0","0.0","103.0","7.0","12.0","6.0","1.0","10.0","0.0","2.0","0.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0"
"paraphrased_0018","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","122","2","3","6","9","0","0","21","0","1","0.0","0.0","11.0","1.0","1.0","55.0","0.0","0.0","0.0","10.0","0.0","2.0","122.0","15.0","35.0","3.12","4.64","3.84952380952381","4.424761904761905","0.0","0.0","0.0","1.0","0.0","415.0","55.0","48.0","41.0","2.0","38.0","1.0","1.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","57","0","1","1","6","0","0","10","1","1","0.0","0.0","0.0","1.05","2.0","28.0","1.0","1.0","0.0","11.0","0.0","2.0","57.0","7.0","20.0","2.87","4.65","3.786","4.638","0.0","0.0","0.0","0.0","0.0","206.0","27.0","24.0","14.0","0.0","23.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0019","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156","1","6","0","4","4","0","15","0","0","0.0","0.0","4.0","1.0","1.0","76.0","0.0","0.0","0.0","19.0","0.0","10.0","156.0","4.0","50.0","2.81","4.18","3.7426666666666666","4.401333333333333","3.0","0.0","0.0","17.0","0.0","501.0","76.0","54.0","47.0","3.0","59.0","6.0","0.0","0.0","5.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0"
"paraphrased_0020","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","425","1","14","8","0","0","3","28","1","1","0.0","0.0","33.0","1.0","1.0","167.0","0.0","0.0","0.0","15.0","0.0","17.0","425.0","10.0","146.0","2.55","5.26","3.9014285714285712","4.5925","0.0","0.0","0.0","0.0","0.0","1202.0","167.0","135.0","99.0","1.0","187.0","3.0","1.0","3.0","21.0","16.0","0.0","0.0","1.0","0.0","0.0","1.0","70","1","1","0","12","0","0","14","0","0","0.21428571428571427","0.0","0.0","0.8571428571428571","1.0","23.0","0.0","0.0","0.0","3.0","0.0","1.0","70.0","0.0","23.0","0.0","4.51","3.2985714285714285","4.3064285714285715","0.0","0.0","0.0","0.0","0.0","231.0","23.0","28.0","16.0","2.0","23.0","2.0","1.0","0.0","5.0","1.0","0.0","0.0","1.0","0.0","1.0","3.0"
"paraphrased_0022","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","239","1","8","8","11","0","2","32","1","1","0.71875","0.0","22.0","1.1565625","3.0","144.0","4.0","13.0","10.0","6.0","0.0","2.0","239.0","19.0","37.0","0.0","4.83","3.7721875000000002","4.143125","6.0","0.0","0.0","0.0","3.0","1214.0","121.0","188.0","148.0","19.0","71.0","17.0","2.0","0.0","19.0","10.0","3.0","0.0","19.0","0.0","0.0","28.0","54","0","4","2","15","0","0","21","0","0","0.0","0.0","4.0","0.3619047619047619","2.0","29.0","3.0","3.0","0.0","0.0","0.0","0.0","54.0","0.0","12.0","0.0","4.47","1.2947619047619046","4.113809523809524","0.0","0.0","0.0","3.0","2.0","257.0","26.0","20.0","24.0","1.0","21.0","2.0","2.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","3.0"
"paraphrased_0021","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","698","1","43","6","9","0","3","63","0","1","0.0","0.0","69.0","0.9688888888888889","2.0","366.0","0.0","0.0","1.0","11.0","0.0","41.0","698.0","22.0","221.0","0.0","5.16","3.8276190476190473","4.422698412698413","1.0","0.0","0.0","0.0","1.0","2834.0","365.0","262.0","260.0","19.0","313.0","14.0","57.0","0.0","42.0","34.0","0.0","6.0","14.0","3.0","0.0","26.0","104","1","3","0","15","1","1","21","0","0","0.0","0.0","3.0","0.7652380952380953","2.0","55.0","0.0","1.0","0.0","6.0","0.0","4.0","104.0","0.0","30.0","0.0","4.57","2.7585714285714285","4.196190476190476","3.0","0.0","0.0","2.0","1.0","405.0","54.0","29.0","28.0","9.0","45.0","1.0","3.0","0.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","20.0"
"paraphrased_0023","kimi-k2.5","cot","llm_iac_paraphrased","True","","True","","33","1","1","0","1","0","0","4","0","1","0.0","0.0","0.0","1.0","1.0","16.0","0.0","0.0","0.0","6.0","0.0","3.0","33.0","2.0","9.0","2.75","4.51","3.8775","4.54","0.0","0.0","0.0","0.0","0.0","82.0","16.0","4.0","1.0","0.0","15.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26","1","2","0","0","0","0","4","1","0","0.0","0.0","1.0","1.0","1.0","16.0","0.0","0.0","0.0","8.0","0.0","1.0","26.0","1.0","10.0","3.0","4.51","3.6775","4.445","0.0","0.0","0.0","0.0","0.0","79.0","16.0","2.0","3.0","0.0","15.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
