"scenario_id","model","prompt_type","dataset","fmt_ok","fmt_error","init_ok","init_error","validate_ok","validate_error_count","validate_warning_count","validate_error"
"llm_iac_0","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_3","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_1","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_2","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_4","kimi-k2.5","few-shot","llm_iac","True","","True","","False","2","0","Invalid function argument | Invalid function argument"
"llm_iac_5","kimi-k2.5","few-shot","llm_iac","True","","False","Error: Failed to query available provider packages  Could not retrieve the list of available versions for provider hashicorp/digitalocean: provider registry registry.terraform.io does not have a provider named registry.terraform.io/hashicorp/digitalocean  Did you intend to use digitalocean/digitalocean? If so, you must specify that source address in each module which requires that provider. To see","False","0","0",""
"llm_iac_6","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_7","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_8","kimi-k2.5","few-shot","llm_iac","True","","True","","False","1","1","Unsupported argument"
"llm_iac_10","kimi-k2.5","few-shot","llm_iac","False","","True","","True","0","0",""
"llm_iac_9","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_11","kimi-k2.5","few-shot","llm_iac","False","","True","","False","1","0","Invalid function argument"
"llm_iac_12","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_13","kimi-k2.5","few-shot","llm_iac","False","","True","","True","0","0",""
"llm_iac_14","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_15","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_16","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_17","kimi-k2.5","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_18","kimi-k2.5","few-shot","llm_iac","False","","False","Error: Failed to query available provider packages  Could not retrieve the list of available versions for provider hashicorp/cdap: provider registry registry.terraform.io does not have a provider named registry.terraform.io/hashicorp/cdap  All modules should specify their required_providers so that external consumers will get the correct providers when using a module. To see which modules are curr","False","0","0",""
"llm_iac_19","kimi-k2.5","few-shot","llm_iac","False","","True","","True","0","3",""
