"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0005","grok-4.1-fast","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0004","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0002","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0007","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","8","2","4","0","2","0",""
"paraphrased_0000","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","15","1","1","8","5","0",""
"paraphrased_0008","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0009","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0012","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","17","4","9","0","4","0",""
"paraphrased_0011","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","19","4","4","6","5","0",""
"paraphrased_0013","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","18","0","3","15","0","0",""
"paraphrased_0014","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","1","3","0","2","0",""
"paraphrased_0010","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","5","1","2","0","2","0",""
"paraphrased_0015","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","0","2","3","5","0",""
"paraphrased_0016","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","2","2","2","0",""
"paraphrased_0019","grok-4.1-fast","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":63,""column"":1},""end"":{""line"":63,""column"":13}}},{""summary"":""\""s3_dev\"" module is not fou","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":63,""column"":1},""end"":{""line"":63,""column"":13}}},{""summary"":""\""s3_dev\"" module is not fou","True","0","0","0","0","0","0",""
"paraphrased_0017","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0018","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0021","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","25","4","6","2","13","0",""
"paraphrased_0020","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","1","7","0","2","0",""
"paraphrased_0022","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","4","0","0","0","0",""
"paraphrased_0023","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0026","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","12","0","3","4","5","0",""
"paraphrased_0028","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0029","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","20","1","10","2","7","0",""
"paraphrased_0027","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","8","2","0","6","0","0",""
"paraphrased_0031","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0030","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0033","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0032","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0038","grok-4.1-fast","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":94,""column"":1},""end"":{""line"":94,""column"":13}}},{""summary"":""\""networking\"" module is not","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":94,""column"":1},""end"":{""line"":94,""column"":13}}},{""summary"":""\""networking\"" module is not","True","0","0","0","0","0","0",""
"paraphrased_0037","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0036","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","12","0","7","3","2","0",""
"paraphrased_0035","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","23","4","7","4","8","0",""
"paraphrased_0039","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","1","3","0","2","0",""
"paraphrased_0034","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0040","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","1","4","1","1","0",""
"paraphrased_0041","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","24","0","4","16","4","0",""
"paraphrased_0044","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","1","4","1","2","0",""
"paraphrased_0042","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0043","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0045","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","1","2","1","2","0",""
"paraphrased_0046","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","0","5","0","2","0",""
"paraphrased_0047","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0048","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","3","0","0","0","0",""
"paraphrased_0049","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","21","2","6","1","12","0",""
"paraphrased_0051","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0050","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0052","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","17","1","5","1","10","0",""
"paraphrased_0053","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","10","2","3","1","4","0",""
"paraphrased_0054","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","9","0","3","3","3","0",""
"paraphrased_0056","grok-4.1-fast","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""This character is not used within the language."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":236,""column"":27},""end"":{""line"":236,""column"":28}}},{""summary"":""Invalid expression"",""message"":""Expected the start of an exp","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""This character is not used within the language."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":236,""column"":27},""end"":{""line"":236,""column"":28}}},{""summary"":""Invalid expression"",""message"":""Expected the start of an exp","True","0","0","0","0","0","0",""
"paraphrased_0055","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","0","2","1","3","0",""
"paraphrased_0057","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","11","1","5","1","4","0",""
"paraphrased_0059","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","1","0","0","2","0",""
"paraphrased_0060","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","1","0","2","3","0",""
"paraphrased_0058","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","1","1","0","2","0",""
"paraphrased_0063","grok-4.1-fast","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""timeout\"" was already set at main.tf:65,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":85,""column"":3},""end"":{""line"":85,""column"":10}}},{""summary"":""Attribute r","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""timeout\"" was already set at main.tf:65,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":85,""column"":3},""end"":{""line"":85,""column"":10}}},{""summary"":""Attribute r","True","0","0","0","0","0","0",""
"paraphrased_0061","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","8","0","0","4","4","0",""
"paraphrased_0062","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","17","3","6","1","7","0",""
"paraphrased_0064","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0065","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","18","1","2","11","4","0",""
"paraphrased_0066","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0067","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","0","1","3","3","0",""
"paraphrased_0068","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","8","0","2","3","3","0",""
"paraphrased_0069","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0070","grok-4.1-fast","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","0","0","4","2","0",""
"paraphrased_0071","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","0","1","1","2","0",""
"paraphrased_0072","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0073","grok-4.1-fast","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","0","2","1","0",""
"paraphrased_0074","grok-4.1-fast","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","19","3","6","1","9","0",""
