"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","ministral-8b","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0001","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","ministral-8b","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0002","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0004","ministral-8b","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","ministral-8b","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","16","9","3","1","3","0",""
"paraphrased_0006","ministral-8b","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0007","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","1","2","0","3","0",""
"paraphrased_0008","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0009","ministral-8b","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","0","1","2","2","0",""
"paraphrased_0010","ministral-8b","few-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","1","0","0","0",""
"paraphrased_0011","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","15","4","3","6","2","0",""
"paraphrased_0012","ministral-8b","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","20","2","9","1","8","0",""
"paraphrased_0013","ministral-8b","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":71,""column"":33},""end"":{""line"":71,""column"":34}}},{""summary"":""Invalid character"",""message"":""Single ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":71,""column"":33},""end"":{""line"":71,""column"":34}}},{""summary"":""Invalid character"",""message"":""Single ","True","0","0","0","0","0","0",""
"paraphrased_0015","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","16","0","3","8","5","0",""
"paraphrased_0014","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","8","1","3","1","3","0",""
"paraphrased_0016","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","5","0","2","2","1","0",""
"paraphrased_0017","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0019","ministral-8b","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":48,""column"":1},""end"":{""line"":48,""column"":13}}},{""summary"":""\""s3\"" module is not found"",","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":48,""column"":1},""end"":{""line"":48,""column"":13}}},{""summary"":""\""s3\"" module is not found"",","True","3","0","1","2","0","0",""
"paraphrased_0018","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","4","0","0","3","1","0",""
"paraphrased_0021","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","17","3","5","3","6","0",""
"paraphrased_0020","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","11","1","7","0","3","0",""
"paraphrased_0022","ministral-8b","few-shot","llm_iac_paraphrased","True","4","","4","0","0","","True","2","2","0","0","0","0",""
"paraphrased_0023","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","ministral-8b","few-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","27","0","9","10","8","0",""
"paraphrased_0026","ministral-8b","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
