"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0003","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0001","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0002","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","15","1","1","8","5","0",""
"paraphrased_0004","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0008","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","0","5","1","4","0",""
"paraphrased_0005","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","15","8","3","3","1","0",""
"paraphrased_0006","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","3","0","3","0",""
"paraphrased_0007","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","11","2","6","1","2","0",""
"paraphrased_0009","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0010","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","1","2","0","1","0",""
"paraphrased_0012","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","21","4","8","0","9","0",""
"paraphrased_0011","grok-4.1-fast","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","18","4","3","6","5","0",""
