"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_2","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","6","1","0","3","2","0",""
"llm_iac_3","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_1","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_6","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","6","0","3","0","3","0",""
"llm_iac_4","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_7","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","10","2","5","1","2","0",""
"llm_iac_5","grok-4.1-fast","few-shot","llm_iac","True","7","","7","0","0","","True","11","3","3","2","3","0",""
"llm_iac_8","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","10","0","5","1","4","0",""
"llm_iac_10","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","7","1","3","0","3","0",""
"llm_iac_9","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","0","3","2","0",""
"llm_iac_11","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","17","4","3","6","4","0",""
"llm_iac_14","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_12","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","26","4","9","1","12","0",""
"llm_iac_13","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","21","0","3","13","5","0",""
"llm_iac_15","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","15","0","3","6","6","0",""
"llm_iac_16","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","8","0","3","1","4","0",""
"llm_iac_18","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","4","0","0","3","1","0",""
"llm_iac_17","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_19","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":131,""column"":1},""end"":{""line"":131,""column"":25}}},{""summary"":""\""prod","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":131,""column"":1},""end"":{""line"":131,""column"":25}}},{""summary"":""\""prod","True","16","0","10","3","3","0",""
"llm_iac_20","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","1","7","0","4","0",""
"llm_iac_22","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","3","3","0","0","0","0",""
"llm_iac_23","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_21","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","21","3","6","2","10","0",""
"llm_iac_24","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_25","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","13","0","3","3","7","0",""
"llm_iac_27","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","8","2","0","6","0","0",""
"llm_iac_28","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_30","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","14","1","7","1","5","0",""
"llm_iac_31","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","3","0","2","1","0","0",""
"llm_iac_32","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","1","3","3","0",""
"llm_iac_33","grok-4.1-fast","few-shot","llm_iac","True","7","","7","0","0","","True","3","0","0","1","2","0",""
"llm_iac_35","grok-4.1-fast","few-shot","llm_iac","True","9","","9","0","0","","True","23","3","8","1","11","0",""
"llm_iac_36","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","3","3","1","0",""
"llm_iac_37","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_38","grok-4.1-fast","few-shot","llm_iac","True","6","","6","0","0","","True","4","0","2","0","2","0",""
"llm_iac_39","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","2","0","0","0",""
"llm_iac_40","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","16","3","4","1","8","0",""
"llm_iac_41","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","24","0","4","16","4","0",""
"llm_iac_34","grok-4.1-fast","few-shot","llm_iac","True","1","","1","0","0","","True","4","0","0","1","3","0",""
"llm_iac_42","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_43","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","0","0","2","0",""
"llm_iac_44","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","8","1","4","1","2","0",""
"llm_iac_45","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","6","1","2","1","2","0",""
"llm_iac_46","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_47","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_48","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","9","3","0","0","6","0",""
"llm_iac_49","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","17","2","5","1","9","0",""
"llm_iac_50","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_51","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_52","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","17","2","8","1","6","0",""
"llm_iac_53","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","13","2","2","1","8","0",""
"llm_iac_54","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","6","0","3","0","3","0",""
"llm_iac_55","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","3","1","3","0",""
"llm_iac_57","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here. To set an argument, use the equals sign \""=\"" to introduce the argument value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":3,""column"":5},""end"":","0","0","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here. To set an argument, use the equals sign \""=\"" to introduce the argument value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":3,""column"":5},""end"":","True","0","0","0","0","0","0",""
"llm_iac_56","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","5","1","1","5","0",""
"llm_iac_58","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","4","1","1","0","2","0",""
"llm_iac_59","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","3","1","0","0","2","0",""
"llm_iac_61","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","6","0","0","4","2","0",""
"llm_iac_60","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","8","0","0","2","6","0",""
"llm_iac_62","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","11","2","4","1","4","0",""
"llm_iac_63","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""timeout\"" was already set at main.tf:29,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":46,""column"":3},""end"":{""line"":46,""column"":10}}},{""summary"":""Attribute r","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""timeout\"" was already set at main.tf:29,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":46,""column"":3},""end"":{""line"":46,""column"":10}}},{""summary"":""Attribute r","True","0","0","0","0","0","0",""
"llm_iac_65","grok-4.1-fast","few-shot","llm_iac","True","0","","0","0","0","","True","18","1","2","13","2","0",""
"llm_iac_64","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","3","0","0","2","1","0",""
"llm_iac_66","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","2","0","1","0","1","0",""
"llm_iac_67","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","11","1","1","6","3","0",""
"llm_iac_68","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","0","3","2","0",""
"llm_iac_69","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_71","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid template control keyword"",""message"":""\""aws\"" is not a valid template control keyword."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":232,""column"":57},""end"":{""line"":232,""column"":60}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid template control keyword"",""message"":""\""aws\"" is not a valid template control keyword."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":232,""column"":57},""end"":{""line"":232,""column"":60}}}]}","True","0","0","0","0","0","0",""
"llm_iac_70","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","0","2","8","2","0",""
"llm_iac_72","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_73","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","4","2","0","2","0","0",""
"llm_iac_75","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_74","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","18","3","6","1","8","0",""
"llm_iac_76","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_77","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","13","1","6","1","5","0",""
"llm_iac_79","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","0","2","0","0",""
"llm_iac_78","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","0","4","1","0",""
"llm_iac_81","grok-4.1-fast","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Extra characters after the end of the 'for' expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":157,""column"":5},""end"":{""line"":157,""column"":8}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Extra characters after the end of the 'for' expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":157,""column"":5},""end"":{""line"":157,""column"":8}}}]}","True","0","0","0","0","0","0",""
"llm_iac_80","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","20","1","16","1","2","0",""
"llm_iac_82","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_83","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","9","0","1","8","0","0",""
"llm_iac_84","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_85","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","5","1","0","1","3","0",""
"llm_iac_86","grok-4.1-fast","few-shot","llm_iac","True","7","","7","0","0","","True","12","1","5","1","5","0",""
"llm_iac_87","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","14","1","5","3","5","0",""
"llm_iac_88","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","11","1","0","7","3","0",""
"llm_iac_89","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","13","1","7","0","5","0",""
"llm_iac_91","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_90","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","2","0","0","0",""
"llm_iac_92","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","17","1","3","6","7","0",""
"llm_iac_93","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","1","0","0",""
"llm_iac_95","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","19","1","10","1","7","0",""
"llm_iac_94","grok-4.1-fast","few-shot","llm_iac","True","8","","8","0","0","","True","26","2","18","2","4","0",""
"llm_iac_96","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","4","0","1","1","2","0",""
"llm_iac_97","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","17","0","2","10","5","0",""
"llm_iac_99","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_98","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","31","1","19","1","10","0",""
"llm_iac_101","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","18","1","3","9","5","0",""
"llm_iac_102","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_103","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","1","0","8","3","0",""
"llm_iac_104","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","21","1","10","1","9","0",""
"llm_iac_106","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","2","0","2","0","0","0",""
"llm_iac_105","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","29","2","15","1","11","0",""
"llm_iac_107","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","2","1","2","0",""
"llm_iac_100","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","19","3","5","1","10","0",""
"llm_iac_108","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","12","2","3","1","6","0",""
"llm_iac_109","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","20","0","0","15","5","0",""
"llm_iac_110","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","0","1","1","0",""
"llm_iac_111","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","28","2","19","1","6","0",""
"llm_iac_112","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","10","1","3","3","3","0",""
"llm_iac_114","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_113","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","39","3","18","1","17","0",""
"llm_iac_115","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_116","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","4","1","0","1","2","0",""
"llm_iac_117","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","32","1","13","9","9","0",""
"llm_iac_118","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","0","0","10","2","0",""
"llm_iac_119","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","33","0","4","23","6","0",""
"llm_iac_120","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_121","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","23","3","6","3","11","0",""
"llm_iac_122","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_123","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","4","1","0","2","1","0",""
"llm_iac_124","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","10","1","7","0","2","0",""
"llm_iac_125","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","1","0","0","1","0","0",""
"llm_iac_126","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","21","2","6","4","9","0",""
"llm_iac_127","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","27","2","18","1","6","0",""
"llm_iac_129","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","21","0","4","13","4","0",""
"llm_iac_128","grok-4.1-fast","few-shot","llm_iac","True","8","","8","0","0","","True","17","3","4","1","9","0",""
"llm_iac_130","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","15","1","10","1","3","0",""
"llm_iac_131","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","0","0","0","0","0","0",""
"llm_iac_132","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_133","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_134","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","9","1","1","3","4","0",""
"llm_iac_135","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_136","grok-4.1-fast","few-shot","llm_iac","True","9","","9","0","0","","True","38","4","14","4","16","0",""
"llm_iac_137","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","14","3","4","1","6","0",""
"llm_iac_138","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","12","2","5","1","4","0",""
"llm_iac_139","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","10","0","1","4","5","0",""
"llm_iac_141","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","29","0","3","17","9","0",""
"llm_iac_140","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","16","3","8","1","4","0",""
"llm_iac_142","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_143","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_144","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","0","4","3","0",""
"llm_iac_146","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_145","grok-4.1-fast","few-shot","llm_iac","True","9","","9","0","0","","True","24","3","6","4","11","0",""
"llm_iac_147","grok-4.1-fast","few-shot","llm_iac","True","5","","5","0","0","","True","16","3","3","1","9","0",""
"llm_iac_148","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_149","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","1","0","0","0","1","0",""
"llm_iac_150","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","11","2","3","0","6","0",""
"llm_iac_151","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","13","3","4","1","5","0",""
"llm_iac_152","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","17","5","1","1","10","0",""
"llm_iac_153","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","14","4","1","1","8","0",""
"llm_iac_154","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"llm_iac_155","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_156","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","14","1","0","9","4","0",""
"llm_iac_158","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","6","1","0","4","1","0",""
"llm_iac_157","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","15","0","3","6","6","0",""
"llm_iac_159","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_160","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_161","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","19","1","12","1","5","0",""
"llm_iac_162","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","18","0","5","6","7","0",""
"llm_iac_163","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","15","1","3","4","7","0",""
"llm_iac_164","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","3","0","0","2","1","0",""
"llm_iac_165","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_166","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","0","2","0","0",""
"llm_iac_167","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_168","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_169","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","11","5","0","6","0","0",""
"llm_iac_170","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","9","0","3","3","3","0",""
"llm_iac_171","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","22","3","10","0","9","0",""
"llm_iac_172","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_173","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_174","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","6","0","1","4","1","0",""
"llm_iac_175","grok-4.1-fast","few-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_176","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","11","2","0","8","1","0",""
"llm_iac_178","grok-4.1-fast","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","2","0","0","0",""
"llm_iac_177","grok-4.1-fast","few-shot","llm_iac","True","2","","2","0","0","","True","14","2","4","1","7","0",""
