"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_1","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_2","qwen3-235b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_4","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_3","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_5","qwen3-235b","zero-shot","llm_iac","True","4","","4","0","0","","True","15","7","3","2","3","0",""
"llm_iac_6","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","8","0","4","0","4","0",""
"llm_iac_7","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","5","1","2","1","1","0",""
"llm_iac_8","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","11","0","6","1","4","0",""
"llm_iac_9","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","10","0","2","5","3","0",""
"llm_iac_10","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","4","1","2","0","1","0",""
"llm_iac_11","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","18","4","4","6","4","0",""
"llm_iac_12","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","44","4","28","0","12","0",""
"llm_iac_14","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_13","qwen3-235b","zero-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_16","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","7","0","1","2","4","0",""
"llm_iac_15","qwen3-235b","zero-shot","llm_iac","True","6","","6","0","0","","True","16","0","3","7","6","0",""
"llm_iac_17","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_19","qwen3-235b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""ec2_instances\"" module is not found"",""message"":""The module directory \""modules\\ec2\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":142,""column"":1},""end"":{""line"":142,""column"":23}}},{""summary"":""\""vpc\"" module i","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""ec2_instances\"" module is not found"",""message"":""The module directory \""modules\\ec2\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":142,""column"":1},""end"":{""line"":142,""column"":23}}},{""summary"":""\""vpc\"" module i","True","15","0","10","2","3","0",""
"llm_iac_21","qwen3-235b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_23","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_22","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"llm_iac_24","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","0","2","0","0",""
"llm_iac_26","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_28","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_27","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"llm_iac_30","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","19","5","3","1","10","0",""
"llm_iac_33","qwen3-235b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":161,""column"":77},""end"":{""line"":162,""column"":1}}},{""summary"":""Argument or block definition re","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":161,""column"":77},""end"":{""line"":162,""column"":1}}},{""summary"":""Argument or block definition re","True","0","0","0","0","0","0",""
"llm_iac_32","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_31","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","3","0","2","1","0","0",""
"llm_iac_34","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","11","0","1","6","4","0",""
"llm_iac_36","qwen3-235b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Extra characters after the end of the 'for' expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":229,""column"":67},""end"":{""line"":229,""column"":68}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Extra characters after the end of the 'for' expression."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":229,""column"":67},""end"":{""line"":229,""column"":68}}}]}","True","0","0","0","0","0","0",""
"llm_iac_35","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","33","4","15","4","10","0",""
"llm_iac_37","qwen3-235b","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","2","0","2","0",""
"llm_iac_38","qwen3-235b","zero-shot","llm_iac","True","0","","0","0","0","","True","5","0","2","1","2","0",""
"llm_iac_39","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_41","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","24","0","4","16","4","0",""
"llm_iac_42","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_40","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","11","2","3","1","5","0",""
"llm_iac_43","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","2","0","0","0","2","0",""
"llm_iac_45","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","6","1","0","1","4","0",""
"llm_iac_46","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_47","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_48","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","12","2","1","0","9","0",""
"llm_iac_49","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","18","2","8","1","7","0",""
"llm_iac_51","qwen3-235b","zero-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_50","qwen3-235b","zero-shot","llm_iac","True","4","","4","0","0","","True","2","0","2","0","0","0",""
"llm_iac_52","qwen3-235b","zero-shot","llm_iac","True","2","","2","0","0","","True","14","1","7","1","5","0",""
