"scenario_id","model","prompt_type","dataset","fmt_ok","fmt_error","init_ok","init_error","validate_ok","validate_error_count","validate_warning_count","validate_error"
"llm_iac_3","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_2","glm-4.7","few-shot","llm_iac","False","","True","","False","1","0","Unsupported argument"
"llm_iac_1","glm-4.7","few-shot","llm_iac","False","","True","","True","0","0",""
"llm_iac_0","glm-4.7","few-shot","llm_iac","False","","True","","False","2","0","Reference to undeclared input variable | Reference to undeclared input variable"
"llm_iac_4","glm-4.7","few-shot","llm_iac","False","","True","","False","2","0","Invalid function argument | Invalid function argument"
"llm_iac_6","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_5","glm-4.7","few-shot","llm_iac","False","","True","","True","0","0",""
"llm_iac_7","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_8","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_9","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_10","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_11","glm-4.7","few-shot","llm_iac","False","","True","","False","1","0","Unsupported argument"
"llm_iac_12","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_13","glm-4.7","few-shot","llm_iac","True","","True","","False","3","0","Missing required argument | Unsupported argument | Insufficient boot_disk blocks"
"llm_iac_14","glm-4.7","few-shot","llm_iac","True","","True","","True","0","0",""
"llm_iac_15","glm-4.7","few-shot","llm_iac","False","","True","","False","6","0","Value for unconfigurable attribute | Missing required argument | Missing required argument | Unsupported argument | Missing required argument | Unsupported argument"
