"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_3","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_2","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_1","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_0","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","12","0","1","3","8","0",""
"llm_iac_4","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_5","qwen3-235b","few-shot","llm_iac","True","7","","7","0","0","","True","12","4","3","2","3","0",""
"llm_iac_6","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","4","0","2","0","2","0",""
"llm_iac_7","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","7","1","2","0","4","0",""
"llm_iac_8","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","9","0","5","1","3","0",""
"llm_iac_10","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_9","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","1","2","2","0",""
"llm_iac_11","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","22","4","4","6","8","0",""
"llm_iac_14","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_13","qwen3-235b","few-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_12","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","40","4","22","1","13","0",""
"llm_iac_15","qwen3-235b","few-shot","llm_iac","True","3","","3","0","0","","True","19","0","3","9","7","0",""
"llm_iac_16","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","6","0","3","2","1","0",""
"llm_iac_17","qwen3-235b","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
