"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_0","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","11","1","1","4","5","0",""
"llm_iac_4","gemma-3-27b","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_221","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","2","1","0","0",""
"llm_iac_3","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_5","gemma-3-27b","few-shot","llm_iac","True","5","","5","0","0","","True","8","1","3","1","3","0",""
"llm_iac_222","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","21","1","10","3","7","0",""
"llm_iac_2","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_1","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_8","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","0","0","2","0",""
"llm_iac_6","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","6","0","2","2","2","0",""
"llm_iac_7","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","8","1","4","0","3","0",""
"llm_iac_9","gemma-3-27b","few-shot","llm_iac","True","3","","3","0","0","","True","5","0","1","2","2","0",""
"llm_iac_10","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_13","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","15","0","2","9","4","0",""
"llm_iac_11","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","15","3","4","6","2","0",""
"llm_iac_12","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","26","0","22","1","3","0",""
"llm_iac_14","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_15","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","18","0","3","9","6","0",""
"llm_iac_19","gemma-3-27b","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":79,""column"":1},""end"":{""line"":79,""column"":13}}},{""summary"":""\""prod\"" module is n","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":79,""column"":1},""end"":{""line"":79,""column"":13}}},{""summary"":""\""prod\"" module is n","True","7","0","5","1","1","0",""
"llm_iac_16","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","7","0","3","3","1","0",""
"llm_iac_18","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_21","gemma-3-27b","few-shot","llm_iac","True","2","","2","0","0","","True","13","2","2","4","5","0",""
