"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0001","gemma-3-27b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","1","0","4","4","0",""
"paraphrased_0003","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0002","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0004","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","2","4","0","3","0",""
"paraphrased_0008","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0009","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","0","1","4","2","0",""
"paraphrased_0010","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0011","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","19","4","4","6","5","0",""
"paraphrased_0013","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0012","gemma-3-27b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","28","2","20","0","6","0",""
"paraphrased_0014","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0015","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","17","0","3","8","6","0",""
"paraphrased_0016","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","3","2","1","0",""
"paraphrased_0017","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0018","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0019","gemma-3-27b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""s3_bucket\"" module is not found"",""message"":""The module directory \""modules\\s3_bucket\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":92,""column"":1},""end"":{""line"":92,""column"":19}}},{""summary"":""\""s3_bucket_modu","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""s3_bucket\"" module is not found"",""message"":""The module directory \""modules\\s3_bucket\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":92,""column"":1},""end"":{""line"":92,""column"":19}}},{""summary"":""\""s3_bucket_modu","True","9","0","5","3","1","0",""
"paraphrased_0020","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","1","7","0","2","0",""
"paraphrased_0022","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","2","0","0","0","0",""
"paraphrased_0021","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","15","2","4","4","5","0",""
"paraphrased_0023","gemma-3-27b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","gemma-3-27b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","0","2","0","0",""
"paraphrased_0025","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","0","3","3","2","0",""
"paraphrased_0026","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","gemma-3-27b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","1","0","3","0","0",""
"paraphrased_0028","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0030","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0029","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","1","5","1","3","0",""
"paraphrased_0031","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","1","0","0",""
"paraphrased_0032","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0033","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0035","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","27","3","15","2","7","0",""
"paraphrased_0036","gemma-3-27b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","11","0","7","2","2","0",""
