"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_5","gemma-3-27b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_1","gemma-3-27b","zero-shot","llm_iac","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_10","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_7","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_11","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","True","12","3","2","5","2","0",""
"llm_iac_12","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","True","29","2","23","0","4","0",""
"llm_iac_8","gemma-3-27b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""This character is not used within the language."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":109,""column"":42},""end"":{""line"":109,""column"":43}}},{""summary"":""Invalid character"",""message"":""This character is not used wi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""This character is not used within the language."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":109,""column"":42},""end"":{""line"":109,""column"":43}}},{""summary"":""Invalid character"",""message"":""This character is not used wi","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_9","gemma-3-27b","zero-shot","llm_iac","True","2","","2","0","0","","True","4","0","1","1","2","0",""
"llm_iac_14","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_13","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_17","gemma-3-27b","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_20","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_19","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_21","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_22","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_23","gemma-3-27b","zero-shot","llm_iac","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_24","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_25","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","True","8","0","3","3","2","0",""
"llm_iac_26","gemma-3-27b","zero-shot","llm_iac","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_27","gemma-3-27b","zero-shot","llm_iac","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_28","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_29","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"llm_iac_30","gemma-3-27b","zero-shot","llm_iac","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
