"scenario_id","model","prompt_type","dataset","fmt_ok","fmt_error","init_ok","init_error","validate_ok","validate_error_count","validate_warning_count","validate_error"
"paraphrased_0000","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0003","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0002","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","False","1","0","Unsupported argument"
"paraphrased_0001","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0007","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","False","1","0","Invalid data source"
"paraphrased_0004","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0006","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0005","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","False","5","0","Unsupported argument | Unsupported block type | Unsupported block type | Unsupported block type | Unsupported block type"
"paraphrased_0008","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0011","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0009","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0010","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0012","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0014","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0013","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","False","3","0","Missing required argument | Unsupported argument | Insufficient boot_disk blocks"
"paraphrased_0015","glm-4.7","few-shot","llm_iac_paraphrased","False","","True","","False","2","0","Reference to undeclared resource | Reference to undeclared resource"
"paraphrased_0018","glm-4.7","few-shot","llm_iac_paraphrased","False","","False","Error: Failed to query available provider packages  Could not retrieve the list of available versions for provider hashicorp/cdap: provider registry registry.terraform.io does not have a provider named registry.terraform.io/hashicorp/cdap  All modules should specify their required_providers so that external consumers will get the correct providers when using a module. To see which modules are curr","False","0","0",""
"paraphrased_0016","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0017","glm-4.7","few-shot","llm_iac_paraphrased","True","","True","","True","0","0",""
