"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0003","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0005","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0001","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0006","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0007","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0002","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0008","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0013","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0009","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0010","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0012","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0011","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0015","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","13","0","3","5","5","0",""
"paraphrased_0016","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0017","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0018","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0019","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":18,""column"":1},""end"":{""line"":18,""column"":25}}},{""summary"":""\""iam\"" ","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":18,""column"":1},""end"":{""line"":18,""column"":25}}},{""summary"":""\""iam\"" ","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0020","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0023","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0022","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0021","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0024","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0025","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0032","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0026","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0027","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0031","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","1","0","0",""
"paraphrased_0028","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0029","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0030","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0033","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0034","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0035","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0036","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0037","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0038","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""aks_cluster\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":128,""column"":1},""end"":{""line"":128,""column"":21}}},{""summary"":""\""monitoring\"" mod","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""aks_cluster\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":128,""column"":1},""end"":{""line"":128,""column"":21}}},{""summary"":""\""monitoring\"" mod","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0039","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0040","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0041","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0043","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0042","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0044","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0045","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0046","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0047","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0048","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0049","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0050","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0053","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","2","2","1","0","0",""
"paraphrased_0051","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0052","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0056","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","5","1","0","0","0",""
"paraphrased_0055","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","8","0","4","0","4","0",""
"paraphrased_0054","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0057","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","7","1","4","1","1","0",""
"paraphrased_0061","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","1","0","4","4","0",""
"paraphrased_0059","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","1","0","0","0","0",""
"paraphrased_0060","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","1","0","2","3","0",""
"paraphrased_0058","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","1","1","0","0","0",""
"paraphrased_0064","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0063","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0062","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0065","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0070","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0066","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0068","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0067","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0069","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0072","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0071","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0073","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
"paraphrased_0074","claude-4.5-sonnet","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","False","0","0","0","0","0","0","trivy timed out"
