"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","1","0","3","2","0",""
"paraphrased_0003","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0001","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0002","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0004","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","ministral-8b","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","11","4","3","3","1","0",""
"paraphrased_0006","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","9","1","4","1","3","0",""
"paraphrased_0008","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","0","1","1","2","0",""
"paraphrased_0009","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0010","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","7","1","3","0","3","0",""
"paraphrased_0011","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","17","3","2","5","7","0",""
"paraphrased_0013","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0012","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","39","3","25","1","10","0",""
"paraphrased_0014","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","1","5","0","3","0",""
"paraphrased_0015","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","30","2","2","16","10","0",""
"paraphrased_0017","ministral-8b","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0016","ministral-8b","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","10","0","3","2","5","0",""
"paraphrased_0018","ministral-8b","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":57,""column"":17},""end"":{""line"":57,""column"":18}}},{""summary"":""Invalid expression"",""message"":""Expect","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""Single quotes are not valid. Use double quotes (\"") to enclose strings."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":57,""column"":17},""end"":{""line"":57,""column"":18}}},{""summary"":""Invalid expression"",""message"":""Expect","True","0","0","0","0","0","0",""
