"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0000","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","1","0","3","2","0",""
"paraphrased_0002","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0003","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0004","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","17","9","3","2","3","0",""
"paraphrased_0006","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0007","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","2","0","3","0",""
"paraphrased_0008","glm-4.7","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","4","0","0","1","3","0",""
"paraphrased_0009","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0010","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","3","0","1","0",""
"paraphrased_0011","glm-4.7","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","13","2","5","6","0","0",""
"paraphrased_0012","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","37","5","17","1","14","0",""
"paraphrased_0013","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0014","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0015","glm-4.7","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","11","0","2","4","5","0",""
"paraphrased_0017","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0016","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","0","3","2","4","0",""
"paraphrased_0018","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0019","glm-4.7","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":41,""column"":1},""end"":{""line"":41,""column"":25}}},{""summary"":""\""prod_e","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":41,""column"":1},""end"":{""line"":41,""column"":25}}},{""summary"":""\""prod_e","True","13","0","9","2","2","0",""
"paraphrased_0020","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","1","6","1","1","0",""
"paraphrased_0022","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","10","0","0","0","0",""
"paraphrased_0021","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","15","1","4","4","6","0",""
"paraphrased_0023","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","glm-4.7","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""assume_role_policy\"" was already set at main.tf:39,3-21. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":63,""column"":3},""end"":{""line"":63,""column"":21}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""assume_role_policy\"" was already set at main.tf:39,3-21. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":63,""column"":3},""end"":{""line"":63,""column"":21}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0025","glm-4.7","cot","llm_iac_paraphrased","True","24","","24","0","0","","True","12","0","2","4","6","0",""
"paraphrased_0026","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","2","0","6","0","0",""
"paraphrased_0028","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0029","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","15","3","5","1","6","0",""
"paraphrased_0030","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0031","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0032","glm-4.7","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0033","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0034","glm-4.7","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","0","0","4","2","0",""
"paraphrased_0035","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","32","4","18","1","9","0",""
"paraphrased_0036","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","0","2","1","1","0",""
"paraphrased_0037","glm-4.7","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","4","0","0","1","3","0",""
"paraphrased_0039","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","3","0","1","0",""
"paraphrased_0040","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","2","1","1","0","0",""
"paraphrased_0041","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","24","0","4","16","4","0",""
"paraphrased_0042","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0043","glm-4.7","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","4","0","0","0","4","0",""
"paraphrased_0038","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0044","glm-4.7","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","10","1","4","1","4","0",""
"paraphrased_0045","glm-4.7","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","1","2","1","0","0",""
"paraphrased_0046","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0047","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0048","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","1","1","1","0","0",""
"paraphrased_0049","glm-4.7","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","16","4","8","1","3","0",""
"paraphrased_0050","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0051","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0052","glm-4.7","cot","llm_iac_paraphrased","True","7","","7","0","0","","True","20","1","8","1","10","0",""
"paraphrased_0053","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","2","1","1","2","0",""
"paraphrased_0054","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","3","0","3","0",""
"paraphrased_0055","glm-4.7","cot","llm_iac_paraphrased","True","8","","8","0","0","","True","10","0","5","1","4","0",""
"paraphrased_0057","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0058","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","1","1","0","1","0",""
"paraphrased_0059","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","1","0","0","2","0",""
"paraphrased_0060","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","1","0","3","5","0",""
"paraphrased_0061","glm-4.7","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","15","2","0","7","6","0",""
"paraphrased_0062","glm-4.7","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","10","2","5","0","3","0",""
"paraphrased_0064","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0063","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0065","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","1","4","1","0",""
"paraphrased_0066","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0068","glm-4.7","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0067","glm-4.7","cot","llm_iac_paraphrased","True","6","","6","0","0","","True","9","1","1","4","3","0",""
"paraphrased_0069","glm-4.7","cot","llm_iac_paraphrased","True","9","","9","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0070","glm-4.7","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0071","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","3","0","1","0","2","0",""
"paraphrased_0072","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0073","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0074","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","13","3","7","1","2","0",""
"paraphrased_0076","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0075","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0077","glm-4.7","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","13","1","7","1","4","0",""
"paraphrased_0078","glm-4.7","cot","llm_iac_paraphrased","True","8","","8","0","0","","True","5","0","0","3","2","0",""
"paraphrased_0080","glm-4.7","cot","llm_iac_paraphrased","True","6","","6","0","0","","True","17","1","9","1","6","0",""
"paraphrased_0079","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","2","0","0",""
"paraphrased_0081","glm-4.7","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","9","0","2","7","0","0",""
"paraphrased_0082","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0083","glm-4.7","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","8","0","1","7","0","0",""
"paraphrased_0084","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0085","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","1","0","2","2","0",""
"paraphrased_0086","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","19","1","11","1","6","0",""
"paraphrased_0087","glm-4.7","cot","llm_iac_paraphrased","True","13","","13","0","0","","True","13","1","6","1","5","0",""
"paraphrased_0088","glm-4.7","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","13","1","1","8","3","0",""
"paraphrased_0089","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","0","6","0","0","0",""
"paraphrased_0090","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0091","glm-4.7","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","0","2","0","0",""
"paraphrased_0092","glm-4.7","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","19","2","5","8","4","0",""
"paraphrased_0093","glm-4.7","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","0","1","7","0","0",""
"paraphrased_0094","glm-4.7","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid character"",""message"":""The \""`\"" character is not valid. To create a multi-line string, use the \""heredoc\"" syntax, like \""\u003c\u003cEOT\""."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1,""column"":1},""end"":{""line"":1,""column"":2}}},{""summ","True","0","0","0","0","0","0",""
