"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0002","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0000","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0005","qwen3-235b","zero-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","9","3","3","1","2","0",""
"paraphrased_0004","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"paraphrased_0009","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","0","1","3","2","0",""
"paraphrased_0006","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0007","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","5","1","2","1","1","0",""
"paraphrased_0008","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","11","0","6","1","4","0",""
"paraphrased_0010","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","14","1","7","1","5","0",""
"paraphrased_0012","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","48","4","27","0","17","0",""
"paraphrased_0013","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0011","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","20","4","5","6","5","0",""
"paraphrased_0014","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0016","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","8","0","2","2","4","0",""
"paraphrased_0015","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","17","0","3","8","6","0",""
"paraphrased_0017","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0019","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""..\\..\\modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":173,""column"":1},""end"":{""line"":173,""column"":13}}},{""summary"":""\""s3\"" module is n","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""..\\..\\modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":173,""column"":1},""end"":{""line"":173,""column"":13}}},{""summary"":""\""s3\"" module is n","True","14","0","10","1","3","0",""
"paraphrased_0018","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0020","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","1","7","1","1","0",""
"paraphrased_0024","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0025","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0021","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","16","2","4","3","7","0",""
"paraphrased_0022","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing newline after argument"",""message"":""An argument definition must end with a newline."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":79,""column"":20},""end"":{""line"":79,""column"":22}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing newline after argument"",""message"":""An argument definition must end with a newline."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":79,""column"":20},""end"":{""line"":79,""column"":22}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0023","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0026","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","3","0","3","0","0",""
"paraphrased_0028","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0029","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","21","3","5","1","12","0",""
"paraphrased_0030","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0031","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0033","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0032","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0035","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0034","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0036","qwen3-235b","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","20","0","13","3","4","0",""
"paraphrased_0037","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","0","2","1","3","0",""
"paraphrased_0039","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","3","0","2","0",""
"paraphrased_0040","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","11","2","3","1","5","0",""
"paraphrased_0041","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","28","0","4","20","4","0",""
"paraphrased_0038","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0045","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0042","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0043","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0044","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","1","4","1","4","0",""
"paraphrased_0046","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0047","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0051","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0048","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","1","0","0","0","0",""
"paraphrased_0049","qwen3-235b","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","23","3","10","1","9","0",""
"paraphrased_0050","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0055","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","empty code","0","0","0","empty code","False","0","0","0","0","0","0","empty code"
"paraphrased_0052","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","15","1","6","1","7","0",""
"paraphrased_0053","qwen3-235b","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","10","2","2","1","5","0",""
"paraphrased_0054","qwen3-235b","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":90},""end"":{""line"":41,""column"":1}}},{""summary"":""Argument or block definition requ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid expression"",""message"":""Expected the start of an expression, but found an invalid expression token."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":40,""column"":90},""end"":{""line"":41,""column"":1}}},{""summary"":""Argument or block definition requ","True","0","0","0","0","0","0",""
