"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0002","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Extra characters after interpolation expression"",""message"":""Expected a closing brace to end the interpolation expression, but found extra characters.\n\nThis can happen when you include interpolation syntax for another language, such as shell scripting, but forget ","0","0","0","{""issues"":[],""errors"":[{""summary"":""Extra characters after interpolation expression"",""message"":""Expected a closing brace to end the interpolation expression, but found extra characters.\n\nThis can happen when you include interpolation syntax for another language, such as shell scripting, but forget ","True","0","0","0","0","0","0",""
"paraphrased_0000","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""service\"" was already set at main.tf:7,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":10,""column"":3},""end"":{""line"":10,""column"":10}}},{""summary"":""Attribute re","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""service\"" was already set at main.tf:7,3-10. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":10,""column"":3},""end"":{""line"":10,""column"":10}}},{""summary"":""Attribute re","True","0","0","0","0","0","0",""
"paraphrased_0003","phi-4","few-shot","llm_iac_paraphrased","True","5","","5","0","0","","True","5","0","1","2","2","0",""
"paraphrased_0001","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0005","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0004","phi-4","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0006","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0007","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","8","1","3","0","4","0",""
"paraphrased_0008","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0009","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","13","0","2","6","5","0",""
"paraphrased_0011","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""Either a quoted string block label or an opening brace (\""{\"") is expected here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":93,""column"":84},""end"":{""line"":93,""column"":85}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""Either a quoted string block label or an opening brace (\""{\"") is expected here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":93,""column"":84},""end"":{""line"":93,""column"":85}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0010","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid attribute name"",""message"":""An attribute name is required after a dot."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":43,""column"":37},""end"":{""line"":43,""column"":38}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid attribute name"",""message"":""An attribute name is required after a dot."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":43,""column"":37},""end"":{""line"":43,""column"":38}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0013","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""The equals sign \""=\"" indicates an argument definition, and must not be used when defining a block."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":29},""end"":{""line"":30,""column"":30}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid block definition"",""message"":""The equals sign \""=\"" indicates an argument definition, and must not be used when defining a block."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":29},""end"":{""line"":30,""column"":30}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0012","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","2","1","2","0",""
"paraphrased_0015","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0014","phi-4","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","2","0","2","0","0","0",""
"paraphrased_0016","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","0","3","2","2","0",""
"paraphrased_0018","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Missing function name"",""message"":""Function scope resolution symbol :: must be followed by a function name in this scope."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":30},""end"":{""line"":30,""column"":31}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing function name"",""message"":""Function scope resolution symbol :: must be followed by a function name in this scope."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":30},""end"":{""line"":30,""column"":31}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0017","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0019","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":7,""column"":1},""end"":{""line"":7,""column"":13}}},{""summary"":""\""prod\"" module is not","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":7,""column"":1},""end"":{""line"":7,""column"":13}}},{""summary"":""\""prod\"" module is not","True","15","0","10","3","2","0",""
"paraphrased_0021","phi-4","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","18","2","5","4","7","0",""
"paraphrased_0020","phi-4","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","10","0","7","0","3","0",""
"paraphrased_0022","phi-4","few-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0023","phi-4","few-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","phi-4","few-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here. To set an argument, use the equals sign \""=\"" to introduce the argument value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":55,""column"":7},""end""","0","0","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here. To set an argument, use the equals sign \""=\"" to introduce the argument value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":55,""column"":7},""end""","True","0","0","0","0","0","0",""
"paraphrased_0025","phi-4","few-shot","llm_iac_paraphrased","True","7","","7","0","0","","True","11","0","5","4","2","0",""
