"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0002","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0001","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","14","0","2","8","4","0",""
"paraphrased_0003","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","0","1","3","0",""
"paraphrased_0004","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0006","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","0","2","0",""
"paraphrased_0005","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","22","11","4","3","4","0",""
"paraphrased_0007","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","10","2","6","1","1","0",""
"paraphrased_0008","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","12","0","6","0","6","0",""
"paraphrased_0009","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","1","2","1","0",""
"paraphrased_0010","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","1","0","1","0","0","0",""
"paraphrased_0011","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","13","4","2","5","2","0",""
"paraphrased_0012","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","41","4","29","0","8","0",""
"paraphrased_0013","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0014","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","6","1","3","0","2","0",""
"paraphrased_0015","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","0","2","2","0",""
"paraphrased_0017","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0016","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","0","2","2","2","0",""
"paraphrased_0018","kimi-k2.5","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0019","kimi-k2.5","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""..\\..\\modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":599,""column"":1},""end"":{""line"":599,""column"":13}}},{""summary"":""\""s3\"" module is n","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""iam\"" module is not found"",""message"":""The module directory \""..\\..\\modules\\iam\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":599,""column"":1},""end"":{""line"":599,""column"":13}}},{""summary"":""\""s3\"" module is n","True","3","0","2","0","1","0",""
"paraphrased_0020","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","1","5","1","0","0",""
"paraphrased_0022","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","4","0","0","0","0",""
"paraphrased_0021","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","0","","0","0","0","","True","20","4","10","3","3","0",""
"paraphrased_0023","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0025","kimi-k2.5","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0026","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0024","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","8","2","0","6","0","0",""
"paraphrased_0028","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0029","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","12","2","3","1","6","0",""
"paraphrased_0030","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0031","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0032","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0035","kimi-k2.5","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0033","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0036","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","3","","3","0","0","","True","6","0","3","1","2","0",""
"paraphrased_0037","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","2","0","2","0",""
"paraphrased_0038","kimi-k2.5","zero-shot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":615,""column"":1},""end"":{""line"":615,""column"":13}}},{""summary"":""\""bastion\"" module is not ","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":615,""column"":1},""end"":{""line"":615,""column"":13}}},{""summary"":""\""bastion\"" module is not ","True","4","0","0","2","2","0",""
"paraphrased_0039","kimi-k2.5","zero-shot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","1","3","0","3","0",""
