"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_2","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_3","phi-4","cot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_0","phi-4","cot","llm_iac","True","2","","2","0","0","","True","5","0","0","2","3","0",""
"llm_iac_1","phi-4","cot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_4","phi-4","cot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_5","phi-4","cot","llm_iac","True","5","","5","0","0","","True","10","3","3","2","2","0",""
"llm_iac_6","phi-4","cot","llm_iac","True","6","","6","0","0","","True","4","0","2","0","2","0",""
"llm_iac_7","phi-4","cot","llm_iac","True","2","","2","0","0","","True","8","1","3","1","3","0",""
"llm_iac_8","phi-4","cot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""integration_uri\"" was already set at main.tf:74,3-18. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":75,""column"":3},""end"":{""line"":75,""column"":18}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""integration_uri\"" was already set at main.tf:74,3-18. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":75,""column"":3},""end"":{""line"":75,""column"":18}}}]}","True","0","0","0","0","0","0",""
"llm_iac_9","phi-4","cot","llm_iac","True","2","","2","0","0","","True","7","0","1","4","2","0",""
"llm_iac_10","phi-4","cot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""tags\"" was already set at main.tf:57,3-7. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":70,""column"":3},""end"":{""line"":70,""column"":7}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""tags\"" was already set at main.tf:57,3-7. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":70,""column"":3},""end"":{""line"":70,""column"":7}}}]}","True","0","0","0","0","0","0",""
"llm_iac_11","phi-4","cot","llm_iac","True","2","","2","0","0","","True","17","4","3","6","4","0",""
"llm_iac_14","phi-4","cot","llm_iac","True","8","","8","0","0","","True","2","0","2","0","0","0",""
"llm_iac_15","phi-4","cot","llm_iac","True","3","","3","0","0","","True","20","1","3","8","8","0",""
"llm_iac_13","phi-4","cot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Key expression is required when building an object."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":78,""column"":87},""end"":{""line"":82,""column"":6}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid 'for' expression"",""message"":""Key expression is required when building an object."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":78,""column"":87},""end"":{""line"":82,""column"":6}}}]}","True","0","0","0","0","0","0",""
"llm_iac_12","phi-4","cot","llm_iac","True","10","","10","0","0","","True","25","2","19","1","3","0",""
"llm_iac_17","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_19","phi-4","cot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""environment_dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":68,""column"":1},""end"":{""line"":68,""column"":25}}},{""summary"":""\""enviro","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""environment_dev\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":68,""column"":1},""end"":{""line"":68,""column"":25}}},{""summary"":""\""enviro","True","7","0","4","2","1","0",""
"llm_iac_16","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","0","3","3","3","0",""
"llm_iac_18","phi-4","cot","llm_iac","True","3","","3","0","0","","True","3","0","0","2","1","0",""
"llm_iac_20","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","1","5","0","3","0",""
"llm_iac_21","phi-4","cot","llm_iac","True","2","","2","0","0","","True","14","2","3","4","5","0",""
"llm_iac_22","phi-4","cot","llm_iac","True","18","","18","0","0","","True","2","2","0","0","0","0",""
"llm_iac_23","phi-4","cot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_25","phi-4","cot","llm_iac","True","3","","3","0","0","","True","11","0","3","3","5","0",""
"llm_iac_24","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","phi-4","cot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_27","phi-4","cot","llm_iac","True","2","","2","0","0","","True","6","0","0","6","0","0",""
"llm_iac_31","phi-4","cot","llm_iac","True","2","","2","0","0","","True","2","0","1","1","0","0",""
"llm_iac_28","phi-4","cot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_30","phi-4","cot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","phi-4","cot","llm_iac","True","2","","2","0","0","","True","11","2","4","1","4","0",""
"llm_iac_32","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_36","phi-4","cot","llm_iac","True","3","","3","0","0","","True","11","0","7","2","2","0",""
"llm_iac_33","phi-4","cot","llm_iac","True","17","","17","0","0","","True","5","1","0","2","2","0",""
"llm_iac_35","phi-4","cot","llm_iac","True","11","","11","0","0","","True","26","3","15","2","6","0",""
"llm_iac_37","phi-4","cot","llm_iac","True","5","","5","0","0","","True","4","0","2","0","2","0",""
"llm_iac_39","phi-4","cot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_38","phi-4","cot","llm_iac","True","3","","3","0","0","","True","3","0","0","1","2","0",""
"llm_iac_40","phi-4","cot","llm_iac","True","3","","3","0","0","","True","9","1","4","1","3","0",""
"llm_iac_41","phi-4","cot","llm_iac","True","1","","1","0","0","","True","24","4","0","16","4","0",""
"llm_iac_42","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_43","phi-4","cot","llm_iac","True","2","","2","0","0","","True","1","0","0","0","1","0",""
"llm_iac_44","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","1","3","1","4","0",""
"llm_iac_45","phi-4","cot","llm_iac","True","2","","2","0","0","","True","8","1","2","1","4","0",""
"llm_iac_34","phi-4","cot","llm_iac","True","2","","2","0","0","","True","8","1","1","5","1","0",""
"llm_iac_46","phi-4","cot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_47","phi-4","cot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_48","phi-4","cot","llm_iac","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"llm_iac_49","phi-4","cot","llm_iac","True","5","","5","0","0","","True","19","2","9","2","6","0",""
"llm_iac_50","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_54","phi-4","cot","llm_iac","True","3","","3","0","0","","True","6","0","3","0","3","0",""
"llm_iac_51","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_53","phi-4","cot","llm_iac","True","2","","2","0","0","","True","10","2","2","1","5","0",""
"llm_iac_52","phi-4","cot","llm_iac","True","2","","2","0","0","","True","14","1","7","1","5","0",""
"llm_iac_55","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","0","5","0","4","0",""
"llm_iac_56","phi-4","cot","llm_iac","True","2","","2","0","0","","True","15","4","1","1","9","0",""
"llm_iac_57","phi-4","cot","llm_iac","True","3","","3","0","0","","True","2","0","2","0","0","0",""
"llm_iac_59","phi-4","cot","llm_iac","True","2","","2","0","0","","True","4","1","0","1","2","0",""
"llm_iac_58","phi-4","cot","llm_iac","True","2","","2","0","0","","True","5","1","1","0","3","0",""
"llm_iac_60","phi-4","cot","llm_iac","True","2","","2","0","0","","True","6","1","0","2","3","0",""
"llm_iac_64","phi-4","cot","llm_iac","True","3","","3","0","0","","True","3","0","0","2","1","0",""
"llm_iac_62","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","1","4","0","4","0",""
"llm_iac_61","phi-4","cot","llm_iac","True","2","","2","0","0","","True","9","1","0","4","4","0",""
"llm_iac_63","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_65","phi-4","cot","llm_iac","True","2","","2","0","0","","True","6","0","1","4","1","0",""
"llm_iac_67","phi-4","cot","llm_iac","True","3","","3","0","0","","True","8","1","0","5","2","0",""
"llm_iac_66","phi-4","cot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_68","phi-4","cot","llm_iac","True","2","","2","0","0","","True","3","0","0","2","1","0",""
"llm_iac_69","phi-4","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
