"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_1","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_3","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_2","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_6","gemini-3-flash","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","0","0","2","0",""
"llm_iac_4","gemini-3-flash","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_5","gemini-3-flash","few-shot","llm_iac","True","1","","1","0","0","","True","12","5","3","2","2","0",""
"llm_iac_7","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","4","1","2","0","1","0",""
"llm_iac_8","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","10","0","5","1","4","0",""
"llm_iac_9","gemini-3-flash","few-shot","llm_iac","True","3","","3","0","0","","True","7","0","1","4","2","0",""
"llm_iac_10","gemini-3-flash","few-shot","llm_iac","True","1","","1","0","0","","True","1","0","1","0","0","0",""
"llm_iac_11","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","13","3","3","6","1","0",""
"llm_iac_14","gemini-3-flash","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_13","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_12","gemini-3-flash","few-shot","llm_iac","True","8","","8","0","0","","True","32","3","20","1","8","0",""
"llm_iac_15","gemini-3-flash","few-shot","llm_iac","True","3","","3","0","0","","True","15","0","2","7","6","0",""
"llm_iac_17","gemini-3-flash","few-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
