"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_1","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","1","0","0","1","0","0",""
"llm_iac_3","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","3","0","0","1","2","0",""
"llm_iac_2","glm-4.7","few-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","8","1","1","3","3","0",""
"llm_iac_4","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_6","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","4","0","2","0","2","0",""
"llm_iac_5","glm-4.7","few-shot","llm_iac","True","1","","1","0","0","","True","15","7","3","2","3","0",""
"llm_iac_7","glm-4.7","few-shot","llm_iac","True","4","","4","0","0","","True","9","1","4","1","3","0",""
"llm_iac_10","glm-4.7","few-shot","llm_iac","True","1","","1","0","0","","True","9","0","7","0","2","0",""
"llm_iac_8","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","15","0","7","2","6","0",""
"llm_iac_9","glm-4.7","few-shot","llm_iac","True","5","","5","0","0","","True","7","0","1","4","2","0",""
"llm_iac_11","glm-4.7","few-shot","llm_iac","True","4","","4","0","0","","True","13","3","4","6","0","0",""
"llm_iac_13","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","15","0","3","12","0","0",""
"llm_iac_12","glm-4.7","few-shot","llm_iac","True","8","","8","0","0","","True","36","4","23","1","8","0",""
"llm_iac_14","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","2","0","0","0",""
"llm_iac_15","glm-4.7","few-shot","llm_iac","True","6","","6","0","0","","True","14","0","2","7","5","0",""
"llm_iac_17","glm-4.7","few-shot","llm_iac","True","4","","4","0","0","","True","0","0","0","0","0","0",""
"llm_iac_16","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","9","0","3","2","4","0",""
"llm_iac_18","glm-4.7","few-shot","llm_iac","True","4","","4","0","0","","True","3","0","0","2","1","0",""
"llm_iac_19","glm-4.7","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""networking\"" module is not found"",""message"":""The module directory \""modules\\networking\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":194,""column"":1},""end"":{""line"":194,""column"":20}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""networking\"" module is not found"",""message"":""The module directory \""modules\\networking\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":194,""column"":1},""end"":{""line"":194,""column"":20}}}]}","True","15","0","9","4","2","0",""
"llm_iac_20","glm-4.7","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_21","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","15","1","5","4","5","0",""
"llm_iac_22","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","2","2","0","0","0","0",""
"llm_iac_23","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_24","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_25","glm-4.7","few-shot","llm_iac","True","1","","1","0","0","","True","11","0","3","3","5","0",""
"llm_iac_27","glm-4.7","few-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_28","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","1","0","1","0",""
"llm_iac_31","glm-4.7","few-shot","llm_iac","True","2","","2","0","0","","True","2","0","1","1","0","0",""
"llm_iac_30","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","2","0","1","0","1","0",""
"llm_iac_29","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","9","1","4","1","3","0",""
"llm_iac_32","glm-4.7","few-shot","llm_iac","True","5","","5","0","0","","True","2","0","1","0","1","0",""
"llm_iac_33","glm-4.7","few-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
