"scenario_id","model","prompt_type","dataset","gen_terametrics_ok","gen_terametrics_error","ref_terametrics_ok","ref_terametrics_error","gen_num_lines_of_code","gen_num_providers","gen_num_resources","gen_num_outputs","gen_num_variables","gen_num_modules","gen_num_data","gen_num_blocks","gen_num_locals","gen_num_terraform","gen_numImplicitDependentEach_avg","gen_numExplicitResourceDependency_sum","gen_numImplicitDependentResources_sum","gen_avgMccabeCC","gen_maxMccabeCC","gen_sumMccabeCC","gen_numComparisonOperators_sum","gen_numConditions_sum","gen_numLoops_sum","gen_maxDepthNestedBlocks","gen_numDynamicBlocks_sum","gen_numNestedBlocks_sum","gen_loc_sum","gen_containDescriptionField_sum","gen_numStringValues_sum","gen_minAttrsTextEntropy","gen_maxAttrsTextEntropy","gen_avgAttrsTextEntropy","gen_textEntropyMeasure_avg","gen_numDeprecatedFunctions_sum","gen_numDebuggingFunctions_sum","gen_numWildCardSuffixString_sum","gen_numEmptyString_sum","gen_numStarString_sum","gen_numTokens_sum","gen_numAttrs_sum","gen_numVars_sum","gen_numReferences_sum","gen_numFunctionCall_sum","gen_numLiteralExpression_sum","gen_numMetaArg_sum","gen_numTemplateExpression_sum","gen_numHereDocs_sum","gen_numObjects_sum","gen_numTuples_sum","gen_numLogiOpers_sum","gen_numMathOperations_sum","gen_numIndexAccess_sum","gen_numSplatExpressions_sum","gen_numLookUpFunctionCall_sum","gen_numParams_sum","ref_num_lines_of_code","ref_num_providers","ref_num_resources","ref_num_outputs","ref_num_variables","ref_num_modules","ref_num_data","ref_num_blocks","ref_num_locals","ref_num_terraform","ref_numImplicitDependentEach_avg","ref_numExplicitResourceDependency_sum","ref_numImplicitDependentResources_sum","ref_avgMccabeCC","ref_maxMccabeCC","ref_sumMccabeCC","ref_numComparisonOperators_sum","ref_numConditions_sum","ref_numLoops_sum","ref_maxDepthNestedBlocks","ref_numDynamicBlocks_sum","ref_numNestedBlocks_sum","ref_loc_sum","ref_containDescriptionField_sum","ref_numStringValues_sum","ref_minAttrsTextEntropy","ref_maxAttrsTextEntropy","ref_avgAttrsTextEntropy","ref_textEntropyMeasure_avg","ref_numDeprecatedFunctions_sum","ref_numDebuggingFunctions_sum","ref_numWildCardSuffixString_sum","ref_numEmptyString_sum","ref_numStarString_sum","ref_numTokens_sum","ref_numAttrs_sum","ref_numVars_sum","ref_numReferences_sum","ref_numFunctionCall_sum","ref_numLiteralExpression_sum","ref_numMetaArg_sum","ref_numTemplateExpression_sum","ref_numHereDocs_sum","ref_numObjects_sum","ref_numTuples_sum","ref_numLogiOpers_sum","ref_numMathOperations_sum","ref_numIndexAccess_sum","ref_numSplatExpressions_sum","ref_numLookUpFunctionCall_sum","ref_numParams_sum"
"paraphrased_0002","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","34","0","3","3","1","0","0","7","0","0","0.0","0.0","6.0","1.0","1.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0","34.0","4.0","9.0","3.28","4.34","3.957142857142857","4.465714285714285","0.0","0.0","0.0","0.0","0.0","119.0","18.0","8.0","13.0","0.0","11.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","49","0","4","3","2","0","0","10","0","1","0.0","0.0","8.0","1.0","1.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","49.0","5.0","16.0","3.0","4.73","3.996","4.682","0.0","0.0","0.0","0.0","0.0","174.0","24.0","12.0","20.0","0.0","17.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0003","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","27","1","2","4","0","0","0","7","0","0","0.0","0.0","5.0","1.0","1.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","0.0","6.0","3.76","4.59","4.074285714285714","4.531428571428571","0.0","0.0","0.0","0.0","0.0","89.0","13.0","5.0","10.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0","2","2","3","0","0","7","0","0","0.0","0.0","3.0","0.5714285714285714","1.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","0.0","1.0","0.0","4.25","2.1757142857142857","4.515714285714286","0.0","0.0","0.0","0.0","0.0","74.0","8.0","7.0","10.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0001","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","14","0","1","0","0","0","0","1","0","0","0.0","0.0","0.0","1.0","1.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","11.0","3.58","4.77","4.2","5.12","0.0","0.0","0.0","0.0","0.0","49.0","6.0","5.0","0.0","0.0","12.0","0.0","0.0","0.0","1.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","68","0","2","1","9","0","1","14","0","1","0.0","0.0","2.0","0.9285714285714286","1.0","39.0","0.0","0.0","0.0","9.0","0.0","1.0","68.0","9.0","15.0","0.0","4.67","3.4614285714285713","4.473571428571428","0.0","0.0","0.0","2.0","0.0","258.0","39.0","23.0","22.0","3.0","15.0","0.0","4.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","3.0"
"paraphrased_0000","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","206","1","14","0","14","0","0","30","0","1","0.0","0.0","13.0","0.9666666666666667","1.0","113.0","0.0","0.0","0.0","6.0","0.0","10.0","206.0","14.0","54.0","0.0","4.84","3.6439999999999997","4.363666666666666","0.0","0.0","0.0","0.0","0.0","652.0","113.0","59.0","54.0","0.0","63.0","2.0","3.0","1.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","330","2","23","0","7","0","1","34","1","0","0.0","0.0","42.0","1.0","1.0","179.0","0.0","0.0","0.0","6.0","0.0","22.0","330.0","8.0","84.0","2.73","4.73","3.739411764705882","4.6438235294117645","0.0","0.0","0.0","0.0","0.0","1048.0","179.0","80.0","102.0","1.0","103.0","14.0","1.0","0.0","1.0","24.0","0.0","0.0","0.0","0.0","0.0","1.0"
"paraphrased_0004","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","16","0","2","0","0","0","0","2","0","0","0.0","0.0","1.0","1.0","1.0","8.0","0.0","0.0","0.0","3.0","0.0","2.0","16.0","1.0","3.0","3.0","4.4","3.55","4.4350000000000005","0.0","0.0","0.0","0.0","0.0","51.0","8.0","1.0","2.0","0.0","8.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","19","1","2","0","0","0","0","4","1","0","0.0","0.0","1.0","1.0","1.0","9.0","0.0","0.0","0.0","3.0","0.0","1.0","19.0","1.0","6.0","3.0","4.08","3.65","4.34","0.0","0.0","0.0","0.0","0.0","57.0","9.0","1.0","2.0","2.0","8.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"paraphrased_0006","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","85","1","4","5","5","0","0","16","0","1","0.25","0.0","8.0","0.96875","2.0","42.0","0.0","0.0","2.0","6.0","0.0","1.0","85.0","10.0","23.0","0.0","4.85","3.69375","4.525","0.0","0.0","0.0","0.0","0.0","347.0","40.0","38.0","31.0","5.0","28.0","3.0","3.0","0.0","4.0","0.0","0.0","2.0","0.0","3.0","0.0","9.0","50","0","1","0","2","3","0","7","0","1","0.0","0.0","1.0","1.0","1.0","29.0","0.0","0.0","0.0","6.0","0.0","2.0","50.0","2.0","21.0","2.27","4.43","3.795714285714286","4.605714285714286","0.0","0.0","0.0","0.0","0.0","152.0","29.0","12.0","9.0","0.0","21.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0005","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","235","1","15","0","6","0","2","26","1","1","0.0","0.0","20.0","0.9615384615384616","1.0","129.0","0.0","0.0","0.0","14.0","0.0","16.0","235.0","7.0","92.0","0.0","5.02","3.772692307692308","4.487307692307692","0.0","0.0","0.0","0.0","6.0","839.0","129.0","55.0","76.0","3.0","102.0","0.0","11.0","1.0","4.0","15.0","0.0","0.0","0.0","0.0","0.0","3.0","204","3","7","0","16","0","0","26","0","0","0.0","0.0","4.0","1.0","1.0","116.0","0.0","0.0","0.0","7.0","0.0","14.0","204.0","18.0","78.0","2.24","4.38","3.6296153846153847","4.492692307692308","0.0","0.0","0.0","12.0","0.0","617.0","116.0","32.0","34.0","0.0","92.0","9.0","0.0","0.0","4.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0007","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","86","1","3","2","2","0","1","9","0","0","0.0","0.0","5.0","1.0","1.0","47.0","0.0","0.0","0.0","6.0","0.0","5.0","86.0","5.0","24.0","2.72","4.78","3.7866666666666666","4.695555555555555","0.0","0.0","0.0","0.0","0.0","251.0","47.0","13.0","17.0","1.0","36.0","1.0","0.0","1.0","2.0","5.0","0.0","0.0","0.0","0.0","0.0","1.0","72","1","2","1","8","0","0","12","0","0","0.0","0.0","3.0","1.0","1.0","39.0","0.0","0.0","0.0","6.0","0.0","3.0","72.0","8.0","24.0","2.72","4.49","3.7925","4.501666666666667","1.0","0.0","0.0","0.0","0.0","224.0","39.0","10.0","11.0","3.0","33.0","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0.0","1.0","4.0"
"paraphrased_0008","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","89","1","12","0","0","0","0","13","0","0","0.0","0.0","22.0","1.0","1.0","47.0","0.0","0.0","0.0","3.0","0.0","1.0","89.0","1.0","28.0","3.12","4.95","3.9507692307692306","4.596153846153846","0.0","0.0","0.0","0.0","0.0","332.0","47.0","28.0","42.0","1.0","31.0","1.0","2.0","0.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","101","0","4","1","5","0","2","14","1","1","0.0","0.0","5.0","1.0","1.0","42.0","0.0","0.0","0.0","15.0","0.0","6.0","101.0","6.0","34.0","3.08","5.25","3.825714285714286","4.491428571428572","0.0","0.0","0.0","0.0","1.0","318.0","42.0","30.0","25.0","0.0","36.0","0.0","2.0","0.0","2.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0"
"paraphrased_0009","qwen3-235b","cot","llm_iac_paraphrased","True","","True","","123","1","7","6","7","0","0","21","0","0","0.09523809523809523","0.0","14.0","1.0","1.0","61.0","0.0","0.0","0.0","8.0","0.0","5.0","123.0","13.0","39.0","2.78","4.51","3.8647619047619046","4.419047619047619","0.0","0.0","0.0","0.0","0.0","430.0","61.0","37.0","40.0","1.0","43.0","2.0","7.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","105","0","2","5","5","4","0","17","1","0","0.058823529411764705","0.0","0.0","1.0082352941176471","2.0","49.0","1.0","1.0","0.0","0.0","0.0","0.0","105.0","5.0","42.0","3.12","4.57","4.011764705882353","4.437647058823529","0.0","0.0","0.0","4.0","0.0","399.0","48.0","30.0","42.0","1.0","45.0","1.0","8.0","0.0","2.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0"
