"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_1","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"llm_iac_2","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","6","1","0","3","2","0",""
"llm_iac_3","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","2","0","0","1","1","0",""
"llm_iac_4","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_6","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","2","0","0","0","2","0",""
"llm_iac_5","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","11","3","3","3","2","0",""
"llm_iac_7","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","10","2","5","1","2","0",""
"llm_iac_8","grok-4.1-fast","zero-shot","llm_iac","True","2","","2","0","0","","True","5","0","1","1","3","0",""
"llm_iac_9","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","0","2","2","0",""
"llm_iac_10","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","4","1","2","0","1","0",""
"llm_iac_11","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","19","4","4","6","5","0",""
"llm_iac_12","grok-4.1-fast","zero-shot","llm_iac","True","2","","2","0","0","","True","24","4","9","1","10","0",""
"llm_iac_13","grok-4.1-fast","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""vms\"" module is not found"",""message"":""The module directory \""vm-module\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":74,""column"":1},""end"":{""line"":74,""column"":13}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""vms\"" module is not found"",""message"":""The module directory \""vm-module\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":74,""column"":1},""end"":{""line"":74,""column"":13}}}]}","True","24","0","4","16","4","0",""
"llm_iac_14","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","6","1","3","0","2","0",""
"llm_iac_15","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","19","0","3","9","7","0",""
"llm_iac_16","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","8","0","3","3","2","0",""
"llm_iac_17","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"llm_iac_19","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","14","0","9","3","2","0",""
"llm_iac_20","grok-4.1-fast","zero-shot","llm_iac","True","2","","2","0","0","","True","11","1","7","1","2","0",""
"llm_iac_22","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","4","4","0","0","0","0",""
"llm_iac_21","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","20","4","5","2","9","0",""
"llm_iac_23","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_24","grok-4.1-fast","zero-shot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_27","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","2","2","0","0","0","0",""
"llm_iac_25","grok-4.1-fast","zero-shot","llm_iac","True","3","","3","0","0","","True","16","0","2","5","9","0",""
"llm_iac_28","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_29","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","22","3","5","1","13","0",""
"llm_iac_30","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","1","0","0","0","1","0",""
"llm_iac_31","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","2","1","0","0",""
"llm_iac_32","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_34","grok-4.1-fast","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Missing key/value separator"",""message"":""Expected an equals sign (\""=\"") to mark the beginning of the attribute value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":136,""column"":25},""end"":{""line"":136,""column"":26}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing key/value separator"",""message"":""Expected an equals sign (\""=\"") to mark the beginning of the attribute value."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":136,""column"":25},""end"":{""line"":136,""column"":26}}}]}","True","0","0","0","0","0","0",""
"llm_iac_33","grok-4.1-fast","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_35","grok-4.1-fast","zero-shot","llm_iac","True","1","","1","0","0","","True","34","4","15","1","14","0",""
