"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_0","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_3","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","0","1","2","0",""
"llm_iac_2","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_1","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","1","0","0",""
"llm_iac_4","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_5","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_6","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_7","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","10","2","4","1","3","0",""
"llm_iac_9","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","4","0","1","1","2","0",""
"llm_iac_8","ministral-8b","zero-shot","llm_iac","True","2","","2","0","0","","True","10","0","5","2","3","0",""
"llm_iac_10","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","1","0","0","0",""
"llm_iac_11","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","16","4","4","6","2","0",""
"llm_iac_13","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_14","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"llm_iac_12","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","44","5","23","1","15","0",""
"llm_iac_15","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","20","0","3","10","7","0",""
"llm_iac_16","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","15","0","3","4","8","0",""
"llm_iac_17","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","3","0","0","2","1","0",""
"llm_iac_19","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""environment_setup\"" module is not found"",""message"":""The module directory \""modules\\environment_setup\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":259,""column"":1},""end"":{""line"":259,""column"":27}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""environment_setup\"" module is not found"",""message"":""The module directory \""modules\\environment_setup\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":259,""column"":1},""end"":{""line"":259,""column"":27}}}]}","True","0","0","0","0","0","0",""
"llm_iac_20","ministral-8b","zero-shot","llm_iac","True","2","","2","0","0","","True","9","1","7","1","0","0",""
"llm_iac_22","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_21","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","18","3","5","3","7","0",""
"llm_iac_23","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_24","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_26","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_25","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","11","0","6","3","2","0",""
"llm_iac_27","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","10","4","0","5","1","0",""
"llm_iac_28","ministral-8b","zero-shot","llm_iac","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"llm_iac_29","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","6","2","1","1","2","0",""
"llm_iac_30","ministral-8b","zero-shot","llm_iac","True","2","","2","0","0","","True","3","0","1","1","1","0",""
"llm_iac_31","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","3","0","2","1","0","0",""
"llm_iac_32","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_33","ministral-8b","zero-shot","llm_iac","True","10","","10","0","0","","True","0","0","0","0","0","0",""
"llm_iac_34","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","13","0","1","9","3","0",""
"llm_iac_35","ministral-8b","zero-shot","llm_iac","True","8","","8","0","0","","True","22","3","11","2","6","0",""
"llm_iac_36","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","10","0","7","1","2","0",""
"llm_iac_37","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","4","0","2","0","2","0",""
"llm_iac_38","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","7","3","1","2","1","0",""
"llm_iac_39","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_40","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","8","0","4","1","3","0",""
"llm_iac_41","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","24","0","4","16","4","0",""
"llm_iac_42","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_43","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","3","0","0","1","2","0",""
"llm_iac_45","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","4","1","1","1","1","0",""
"llm_iac_44","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","5","1","3","1","0","0",""
"llm_iac_46","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","1","0","0","1","0","0",""
"llm_iac_47","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"llm_iac_48","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","4","2","0","0","2","0",""
"llm_iac_49","ministral-8b","zero-shot","llm_iac","True","2","","2","0","0","","True","18","1","9","2","6","0",""
"llm_iac_50","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","6","0","1","4","1","0",""
"llm_iac_51","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","8","0","3","3","2","0",""
"llm_iac_52","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":146,""column"":15},""end"":{""line"":146,""column"":24}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Missing argument separator"",""message"":""A comma is required to separate each function argument from the next."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":146,""column"":15},""end"":{""line"":146,""column"":24}}}]}","True","0","0","0","0","0","0",""
"llm_iac_54","ministral-8b","zero-shot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""for_each\"" was already set at main.tf:80,3-11. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":83,""column"":3},""end"":{""line"":83,""column"":11}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Attribute redefined"",""message"":""The argument \""for_each\"" was already set at main.tf:80,3-11. Each argument may be set only once."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":83,""column"":3},""end"":{""line"":83,""column"":11}}}]}","True","0","0","0","0","0","0",""
"llm_iac_53","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","7","2","2","1","2","0",""
"llm_iac_55","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","16","0","8","2","6","0",""
"llm_iac_56","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","11","5","0","1","5","0",""
"llm_iac_57","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","2","0","2","0","0","0",""
"llm_iac_58","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","4","1","1","1","1","0",""
"llm_iac_59","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","4","1","0","0","3","0",""
"llm_iac_60","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","17","0","0","5","12","0",""
"llm_iac_61","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","8","0","0","4","4","0",""
"llm_iac_62","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","10","2","4","1","3","0",""
"llm_iac_63","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_64","ministral-8b","zero-shot","llm_iac","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"llm_iac_65","ministral-8b","zero-shot","llm_iac","True","0","","0","0","0","","True","5","0","0","3","2","0",""
