"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"llm_iac_3","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","4","0","0","1","3","0",""
"llm_iac_1","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","1","0","0","1","0","0",""
"llm_iac_2","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_0","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","11","1","1","5","4","0",""
"llm_iac_6","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","2","0","0","0","2","0",""
"llm_iac_4","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_5","claude-4.5-sonnet","cot","llm_iac","True","1","","1","0","0","","True","19","11","4","3","1","0",""
"llm_iac_7","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","10","3","6","1","0","0",""
"llm_iac_9","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","1","0","0","0","1","0",""
"llm_iac_8","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","7","0","1","1","5","0",""
"llm_iac_10","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","2","1","1","0","0","0",""
"llm_iac_11","claude-4.5-sonnet","cot","llm_iac","True","1","","1","0","0","","True","16","4","4","6","2","0",""
"llm_iac_13","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"llm_iac_14","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","3","1","2","0","0","0",""
"llm_iac_12","claude-4.5-sonnet","cot","llm_iac","True","2","","2","0","0","","True","30","6","23","1","0","0",""
"llm_iac_15","claude-4.5-sonnet","cot","llm_iac","True","1","","1","0","0","","True","8","0","0","3","5","0",""
"llm_iac_16","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","3","0","1","1","1","0",""
"llm_iac_17","claude-4.5-sonnet","cot","llm_iac","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"llm_iac_18","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","1","0","0","0","1","0",""
"llm_iac_19","claude-4.5-sonnet","cot","llm_iac","False","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":326,""column"":1},""end"":{""line"":326,""column"":25}}},{""summary"":""\""prod","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""dev_environment\"" module is not found"",""message"":""The module directory \""modules\\environment\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":326,""column"":1},""end"":{""line"":326,""column"":25}}},{""summary"":""\""prod","True","8","0","4","3","1","0",""
"llm_iac_20","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","4","1","2","1","0","0",""
"llm_iac_21","claude-4.5-sonnet","cot","llm_iac","True","0","","0","0","0","","True","11","4","4","2","1","0",""
