"scenario_id","model","prompt_type","dataset","gen_tflint_ok","gen_tflint_total","gen_tflint_error","gen_tflint_warning","gen_tflint_notice","gen_tflint_info","gen_tflint_error","gen_trivy_ok","gen_trivy_total","gen_trivy_critical","gen_trivy_high","gen_trivy_medium","gen_trivy_low","gen_trivy_unknown","gen_trivy_error"
"paraphrased_0002","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0003","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","4","0","0","1","3","0",""
"paraphrased_0001","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0000","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","11","0","1","6","4","0",""
"paraphrased_0006","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","0","0","3","0",""
"paraphrased_0004","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0007","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","17","3","6","1","7","0",""
"paraphrased_0005","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","17","10","4","3","0","0",""
"paraphrased_0009","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0008","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","12","0","5","1","6","0",""
"paraphrased_0010","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","1","0","0","1","0",""
"paraphrased_0011","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","9","4","4","1","0","0",""
"paraphrased_0013","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0014","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0012","kimi-k2.5","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","29","4","20","1","4","0",""
"paraphrased_0015","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","8","0","2","3","3","0",""
"paraphrased_0016","kimi-k2.5","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0017","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0018","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","1","0","0","0","1","0",""
"paraphrased_0019","kimi-k2.5","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1083,""column"":1},""end"":{""line"":1083,""column"":2}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Argument or block definition required"",""message"":""An argument or block definition is required here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":1083,""column"":1},""end"":{""line"":1083,""column"":2}}}]}","True","0","0","0","0","0","0",""
"paraphrased_0020","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","7","2","5","0","0","0",""
"paraphrased_0021","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","19","5","6","3","5","0",""
"paraphrased_0022","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","2","0","0","0","0",""
"paraphrased_0024","kimi-k2.5","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Variables not allowed"",""message"":""Variables may not be used here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":28},""end"":{""line"":30,""column"":31}}}]}","0","0","0","{""issues"":[],""errors"":[{""summary"":""Variables not allowed"",""message"":""Variables may not be used here."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":30,""column"":28},""end"":{""line"":30,""column"":31}}}]}","True","2","0","0","2","0","0",""
"paraphrased_0025","kimi-k2.5","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0023","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0026","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0027","kimi-k2.5","cot","llm_iac_paraphrased","True","4","","4","0","0","","True","5","2","0","3","0","0",""
"paraphrased_0028","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","0","1","0","1","0",""
"paraphrased_0030","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","2","0","0","1","1","0",""
"paraphrased_0029","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","2","3","1","0","0",""
"paraphrased_0031","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","3","0","2","1","0","0",""
"paraphrased_0033","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0032","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","0","0","2","2","0",""
"paraphrased_0035","kimi-k2.5","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","25","5","16","1","3","0",""
"paraphrased_0034","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","5","0","0","2","3","0",""
"paraphrased_0038","kimi-k2.5","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":67,""column"":1},""end"":{""line"":67,""column"":13}}},{""summary"":""\""networking\"" module is not","0","0","0","{""issues"":[],""errors"":[{""summary"":""\""aks\"" module is not found"",""message"":""The module directory \""modules\\aks\"" does not exist or cannot be read."",""severity"":""error"",""range"":{""filename"":""main.tf"",""start"":{""line"":67,""column"":1},""end"":{""line"":67,""column"":13}}},{""summary"":""\""networking\"" module is not","True","3","0","1","1","1","0",""
"paraphrased_0036","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","12","0","7","2","3","0",""
"paraphrased_0039","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","2","1","1","0","0","0",""
"paraphrased_0037","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","0","2","1","2","0",""
"paraphrased_0041","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","28","0","4","20","4","0",""
"paraphrased_0043","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","5","0","0","1","4","0",""
"paraphrased_0040","kimi-k2.5","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","8","4","3","0","1","0",""
"paraphrased_0042","kimi-k2.5","cot","llm_iac_paraphrased","True","3","","3","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0044","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","6","1","4","1","0","0",""
"paraphrased_0047","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0045","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","4","1","2","1","0","0",""
"paraphrased_0046","kimi-k2.5","cot","llm_iac_paraphrased","True","2","","2","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0048","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","8","5","2","1","0","0",""
"paraphrased_0049","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","38","5","7","3","23","0",""
"paraphrased_0052","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","12","1","10","1","0","0",""
"paraphrased_0050","kimi-k2.5","cot","llm_iac_paraphrased","True","5","","5","0","0","","True","0","0","0","0","0","0",""
"paraphrased_0053","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","5","2","2","1","0","0",""
"paraphrased_0051","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","1","0","0","1","0","0",""
"paraphrased_0054","kimi-k2.5","cot","llm_iac_paraphrased","True","0","","0","0","0","","True","6","0","3","0","3","0",""
"paraphrased_0055","kimi-k2.5","cot","llm_iac_paraphrased","False","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","0","0","0","{""issues"":[],""errors"":[{""summary"":""Invalid multi-line string"",""message"":""Quoted strings may not be split over multiple lines. To produce a multi-line string, either use the \\n escape to represent a newline character or use the \""heredoc\"" multi-line template syntax."",""severity"":""error"",""range"":{""fi","True","0","0","0","0","0","0",""
"paraphrased_0056","kimi-k2.5","cot","llm_iac_paraphrased","True","1","","1","0","0","","True","4","4","0","0","0","0",""
