"scenario_id","model","prompt_type","dataset","fmt_ok","fmt_error","init_ok","init_error","validate_ok","validate_error_count","validate_warning_count","validate_error"
"paraphrased_0002","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","False","1","0","Unsupported argument"
"paraphrased_0003","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0000","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0001","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0006","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0004","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0005","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0007","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0008","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0009","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0010","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0011","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","False","1","0","Invalid function argument"
"paraphrased_0012","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","False","2","0","Invalid function argument | Invalid function argument"
"paraphrased_0016","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","True","0","0",""
"paraphrased_0013","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0015","claude-4.5-sonnet","cot","llm_iac_paraphrased","False","","True","","True","0","0",""
"paraphrased_0014","claude-4.5-sonnet","cot","llm_iac_paraphrased","True","","True","","True","0","0",""
